,sentence
21,"Sayangnya, tidak tersedia data pendapatan yang lengkap di Indonesia, dan data pendapatan sering kali kurang dapat diandalkan di negara berkembang."
22,Pengukuran tingkat kemiskinan dan ketimpangan di Indonesia biasanya menggunakan data dari Survei Sosial Ekonomi Nasional (Susenas).
23,"Dalam kondisi ideal, data pendapatan seharusnya mencakup beberapa komponen pendapatan rumah tangga."
24,"Selain pendapatan dari gaji (salary income atau wage income), biasanya juga mencakup pendapatan dari pengelolaan bisnis (business income), pendapatan dari investasi (investment income), serta pendapatan dari subsidi dan pengurangan pajak (tax-benefit income)."
25,Komponen gaji bisa terlihat dari Survei Angkatan Kerja Nasional (Sakernas) yang biasanya diadakan pada Februari dan Agustus tiap tahun.
26,"Berdasarkan data statistik, sebagian besar tenaga kerja di Indonesia berada di sektor informal."
27,"Pada 2019, proporsi tenaga kerja formal tercatat sebesar 44,12%."
28,"Namun, pada 2023, angka tersebut justru menurun signifikan menjadi 40,89%."
29,Penghapusan Piutang UMKM Dapat Berdayakan Perempuan
30,Menteri Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Arifah Fauzi menilai penghapusan piutang macet bagi usaha mikro kecil dan menengah (UMKM) dapat berdampak positif bagi pelaku usaha perempuan.
31,"Dia menyampaikan, melalui Peraturan Pemerintah (PP) Nomor 47 Tahun 2024, pelaku usaha perempuan dapat meneruskan dan meningkatkan daya saing usahanya."
32,"""Bicara tentang potensi perempuan, tidak terlepas dari pemberdayaan ekonomi melalui upaya pengembangan UMKM,"" kata Arifah dilansir dari siaran pers, Sabtu (9/11/2024)."
33,"Dia menyampaikan, berdasarkan catatan Kementerian Koperasi dan Usaha Kecil dan Menengah tahun 2019, dari total UMKM di Indonesia yang berjumlah 65,5 juta, 64 jutanya adalah usaha mikro."
34,"Dari angka 64 juta usaha mikro tersebut, lebih dari setengahnya dimiliki dan dikelola oleh perempuan."
35,"Dengan demikian, perempuan memiliki peran penting dalam pemulihan ekonomi nasional."
36,"""Dengan diterbitkannya PP Nomor 47 Tahun 2024, menunjukkan bahwa negara hadir untuk UMKM."
37,"Dan memberikan kesempatan kepada perempuan sebagai pelaku UMKM untuk lebih produktif dan memperkuat daya saingnya di pasar,"" papar Arifah."
38,"Arifah berujar, pemerintah menyadari bahwa nelayan, petani, dan UMKM, terutama yang dikelola perempuan, adalah tulang punggung ekonomi rakyat."
39,"Melalui PP tersebut, jelas Arifah, pemerintah memperkuat komitmennya untuk menciptakan kesempatan yang lebih adil bagi kelompok rentan."
40,"""Kebijakan ini juga menjadi sebuah harapan yang besar bagi perempuan-perempuan kelompok rentan yakni perempuan kepala keluarga, perempuan penyintas bencana, dan perempuan penyintas kekerasan, yang menjadi dampingan Kemen PPPA untuk memulai sebagai wirausaha,"" papar Arifah."
41,"Dia menambahkan, pemerintah akan terus berupaya untuk menciptakan kebijakan yang pro-rakyat dan mendukung pemulihan ekonomi di semua lapisan masyarakat."
42,"Prabowo Dorong Sinergi Ekonomi Indonesia-Brasil, Nyatakan Ingin Gabung BRICS"
43,"Presiden Prabowo Subianto menyoroti banyaknya kesamaan antara Indonesia dan Brasil, mulai dari sumber daya alam maupun visi strategis untuk masa depan."
44,"Untuk itu, Prabowo menginginkan Indonesia dan Brasil bersinergi dalam hal perekonomian."
45,"Hal tersebut Prabowo sampaikan saat menghadiri Indonesia-Brazil Business Forum, yang digelar di Copacabana Palace, Rio de Janeiro, Brasil, Minggu (17/11/2024)."
46,"Forum tersebut mempertemukan para pelaku usaha dari Indonesia dan Brasil untuk membahas peluang kerja sama ekonomi strategis, termasuk di sektor energi, industri, dan kemaritiman."
47,"""Indonesia dan Brasil adalah negara besar dengan populasi yang besar pula."
48,Kita memiliki sumber daya yang melimpah.
49,"Brasil sudah maju dalam industrinya, sementara Indonesia sedang berusaha menyusul melalui industrialisasi."
50,"Saya yakin, kita bisa menciptakan sinergi yang baik dan hubungan yang saling menguntungkan,"" ujar Prabowo, dikutip dari Setpres, Senin (18/11/2024)."
51,"Prabowo juga menyampaikan dukungannya terhadap peran Brasil sebagai salah satu anggota kunci BRICS, sebuah organisasi ekonomi yang semakin berpengaruh dalam kancah global."
52,"Menurutnya, Indonesia berkomitmen untuk menjadi anggota BRICS sebagai bagian dari strategi memperkuat ekonomi nasional."
53,"""Saya telah mengirim Menteri Luar Negeri untuk menghadiri KTT BRICS di Kazan, hanya sehari setelah kabinet saya dilantik."
54,"Indonesia ingin bergabung dengan Brasil dan negara anggota BRICS lainnya,"" tuturnya."
55,"Kemudian, Prabowo menekankan pentingnya ketahanan pangan sebagai fondasi utama pembangunan sebuah negara."
56,"Dia menggarisbawahi program pemberian makanan gratis untuk anak-anak Indonesia sebagai prioritas pemerintahannya, seraya mempelajari keberhasilan Brasil dalam program serupa."
57,"""Saya juga ingin belajar dari program Brasil yang telah sukses, dan saya telah meminta tim saya untuk mengatur kerja sama lebih lanjut dengan Duta Besar Brasil di Indonesia,"" kata Prabowo."
58,"Dalam bidang energi, Prabowo menyoroti peluang besar untuk kerja sama, terutama dalam pengembangan biofuel dan energi terbarukan."
59,"Indonesia, kata dia, berambisi meningkatkan penggunaan biodiesel hingga 50% pada 2025, dengan memanfaatkan minyak kelapa sawit sebagai bahan baku utama."
60,"Sementara itu, di sektor kemaritiman, Prabowo menyatakan Indonesia memiliki cadangan perikanan terbesar kedua atau ketiga di dunia, tetapi kekurangan 40.000 kapal penangkap ikan berkapasitas 150-300 GT."
61,"Prabowo pun mengundang pelaku usaha Brasil untuk berinvestasi di sektor ini, sekaligus mendukung program hilirisasi sumber daya alam Indonesia."
62,Prabowo juga menggarisbawahi komitmen Indonesia untuk menciptakan iklim bisnis yang positif dan terbuka bagi investasi asing.
63,"""Kami bertekad menciptakan lingkungan bisnis yang positif,"" imbuhnya."
64,"Pada kesempatan kali ini, Prabowo didampingi oleh Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Luar Negeri Sugiono, Sekretaris Kabinet Teddy Indra Wijaya, Wakil Menteri Keuangan Thomas Djiwandono, dan Dubes RI untuk Brasil Edi Yusup."
65,"Hingga Triwulan Ketiga, KEK Serap Investasi Rp 242,5 Triliun"
66,"Realisasi investasi Kawasan Ekonomi Khusus (KEK) secara kumulatif hingga triwulan III tahun 2024 telah mencapai Rp 242,5 triliun."
67,"Sementara itu, jumlah tenaga kerja yang terserap secara kumulatif hingga September 2024 mencapai 151.260 orang."
68,"Dengan 394 pelaku usaha di KEK, Pemerintah optimistis bahwa target investasi dapat tercapai."
69,"Plt Sekretaris Jenderal Dewan Nasional KEK, Rizal Edwin Manansang berharap seluruh KEK ini bisa mencapai target tahun 2024 yang telah ditetapkan."
70,"""Kami mengharapkan pada sisa tahun 2024, seluruh KEK mampu memenuhi komitmen dan mendorong rencana realisasi investasi dan serapan tenaga kerja yang telah ditargetkan sebelumnya,"" ujarnya dikutip dari laman Dewan Nasional KEK pada Minggu (17/11/2024)."
71,"Dari 24 KEK di berbagai wilayah Indonesia, terdapat delapan KEK unggulan seperti KEK Kendal, KEK Sei Mangkei, KEK Mandalika, KEK Nongsa, KEK Sanur, KEK Singhasari, KEK Kura Kura Bali, dan KEK Lido telah menunjukkan kemajuan signifikan dengan merealisasikan sebagian besar target investasi tahun 2024 (di atas 75%)."
72,"Di sisi lain, beberapa KEK juga mencatatkan kinerja menonjol dalam penyerapan tenaga kerja seperti KEK Batam Aero Technic (BAT), KEK Sanur dan KEK Kura Kura Bali."
73,Sekretariat Jenderal Dewan Nasional KEK juga bekerja sama dengan LPEM UI untuk mendapatkan hasil evaluasi kinerja KEK secara tepat dan reliable.
74,"""Agar lebih komprehensif, tahun ini LPEM UI mengembangkan indikator penilaian pada KEK menjadi tiga pilar untuk melakukan kajian dengan penilaian pada pilar kinerja layanan, kinerja capaian, dan dampak luas,"" tandas Yusuf Reza Kurniawan, Tim Kajian LPEM UI."
75,KISI Asset Management Luncurkan Reksadana Syariah yang Fokus ke AI dan Kendaraan Listrik
76,KISI Asset Management memperkenalkan produk investasi Reksa Dana Syariah KISI Global Sharia Transformative Technology Equity Fund USD.
77,"Produk ini dirancang untuk memberikan akses kepada investor ke dua sektor di ekonomi global, yakni kecerdasan buatan atau artificial intelligence (AI) dan kendaraan listrik atau electric vehicle (EV) dengan tetap mematuhi prinsip-prinsip investasi syariah."
78,Produk ini bertujuan menangkap potensi besar dari teknologi AI dan EV yang merevolusi industri dan membentuk masa depan.
79,"Kecerdasan buatan sedang mendorong kemajuan di berbagai bidang seperti kesehatan, logistik, dan keuangan."
80,Dokumen Shutterstock.com Ilustrasi investasi.
81,Saham dan reksadana merupakan dua instrumen investasi yang banyak diminati oleh masyarakat.
82,Mana yang lebih cocok untuk investor pemula?
83,"Sementara itu, kendaraan listrik berada di garis depan upaya global untuk beralih ke solusi energi berkelanjutan."
84,Kedua sektor ini menawarkan peluang investasi yang berdampak positif.
85,"CMO KISI Asset Management Irham Gautama menerangkan, portofolio KISI Global Sharia Transformative Technology Equity Fund USD mencakup perusahaan-perusahaan teknologi yang menjadi pemimpin global di sektor AI dan EV, seperti Meta, Microsoft, NVIDIA, Apple, dan Tesla."
86,Perusahaan-perusahaan ini dikenal karena inovasi dalam teknologi dan kontribusi terhadap pertumbuhan ekonomi global yang berkelanjutan.
87,"“Kami, KISI Asset Management percaya bahwa inovasi pada produk KISI Global Sharia Transformative Technology Equity Fund USD memungkinkan investor untuk berpartisipasi dalam gelombang kemajuan teknologi,” kata dia dalam keterangan resmi, dikutip Kamis (21/11/2024)."
88,"Ia menambahkan, produk ini menawarkan berbagai manfaat utama bagi investor dengan portofolio yang berfokus pada pemimpin global dalam sektor AI dan kendaraan listrik yang memberikan eksposur pada teknologi yang membentuk masa depan."
89,"Budi Gunawan: Data Intelijen, Pemain Judi ""Online"" Capai 8,8 Juta pada 2024"
90,"Menteri Koordinator Bidang Politik dan Keamanan (Menko Polkam) Budi Gunawan mengungkapkan bahwa diperkirakan pada 2024, sebanyak 8,8 juta orang di Indonesia akan terlibat dalam judi online."
91,Pernyataan ini disampaikan berdasarkan data intelijen ekonomi yang diterimanya.
92,"""Kalau dari data judi online dari intelijen ekonomi itu pada 2024 sebanyak 8,8 juta pemain,"" kata Budi Gunawan saat ditemui di Kantor Bea Cukai, Jakarta Timur, pada Kamis (14/11/2024)."
93,"Budi menambahkan, sebagian besar pemain judi online tersebut berasal dari masyarakat kelas bawah."
94,"""Di mana 80% (dari 8,8 juta pemain judi online) adalah masyarakat bawah dan menyasar ke anak-anak muda,"" ungkap mantan Kepala Badan Intelijen Negara (BIN) ini."
95,"Sementara itu, ketika ditanya perkembangan kasus judi online yang melibatkan pegawai Kementerian Komunikasi dan Informatika (sekarang Komdigi), termasuk eks Menkominfo Budi Arie Setiadi, Budi Gunawan enggan berspekulasi."
96,"Ia menegaskan, Kemenko Polkam akan menunggu Polri dalam mengungkap kasus judi online, serta menghormati upaya hukum yang sedang berjalan."
97,"""Semua tidak ada toleransi dan kami meyakini itu karena sudah perintah Pak Presiden bahwa semuanya akan diproses,"" ujar Budi."
98,"Sebelumnya, Kepala Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) Ivan Yustiavandana mengungkapkan bahwa perputaran uang terkait judi online mencapai Rp 13,2 triliun terhitung sejak Januari hingga Juni 2024."
99,Data ini berdasarkan 10 laporan analisis yang dilakukan PPATK.
100,"""PPATK juga mendukung upaya pemberantasan judi online melalui hasil analisis sebanyak 10 laporan hasil analisis dengan total perputaran dana Rp 13,2 triliun,"" ujar Ivan dalam rapat Komisi III DPR RI di Kompleks Parlemen, Jakarta, Rabu (6/11/2024)."
101,"Sementara itu, Presiden Prabowo Subianto menegaskan komitmennya untuk memberantas judi online dan meminta agar tidak ada pihak yang membekingi tindak pidana tersebut."
102,"Pesan ini disampaikan kepada Kementerian Koordinator Bidang Politik dan Keamanan (Kemenko Polkam), Kejaksaan Agung (Kejagung), dan Polri, sebagaimana diungkapkan oleh Menteri Komunikasi dan Digital Meutya Hafid."
103,"""Terkait judi online, dan ini sudah kita dengar berulang kali langsung dari beliau, dari Presiden."
104,Jadi artinya beliau kembali menegaskan bahwa kita semua harus memerangi judi online.
105,"Pesan beliau kali ini adalah bekerja sama dengan baik,"" ujar Meutya dalam jumpa pers di Istana, Jakarta, Rabu (6/11/2024)."
106,"""Tadi disebutkan beberapa institusi atau lembaga, Polri, Jaksa Agung, kemudian juga Kemenko Polkam, dan bahkan tidak tertutup tiga itu, tapi semuanya bekerja sama, tidak boleh ada beking-bekingan."
107,"Ini bahasa beliau, tidak boleh ada yang membeking, yang membantu atau apa pun itu,” katanya lagi."
108,"Di KTT APEC 2024, Prabowo Soroti Perdagangan yang Bebas dan Adil"
109,"Presiden Republik Indonesia Prabowo Subianto menegaskan komitmen Indonesia untuk mendorong perdagangan yang terbuka, teratur, bebas, dan tetap adil."
110,"Pernyataan tersebut disampaikan setelah mengikuti rangkaian Leaders Retreat dalam Konferensi Tingkat Tinggi (KTT) Kerja Sama Ekonomi Asia-Pasifik (APEC) 2024 yang berlangsung di Lima, Peru, pada Sabtu (16/11/2024)."
111,"""Ya, saya kira kesempatan yang baik APEC ya, kita meneruskan suatu jaringan, network antara pemimpin-pemimpin di Pasifik."
112,"Kita bahas banyak masalah di mana kita menjaga perdagangan yang baik, yang terbuka tapi adil."
113,"Saya kira itu, kesempatan yang baik,"" ungkap Prabowo dalam tayangan Setpres, Minggu (17/11/2024)."
114,Prabowo juga menyoroti pentingnya perdagangan internasional yang terorganisasi dengan baik.
115,"Ia menegaskan bahwa posisi Indonesia adalah untuk terus mendukung perdagangan yang teratur, terbuka, dan adil."
116,"""Kita ingin perdagangan yang teratur, yang bebas, tapi adil,"" imbuhnya."
117,"Sebagai salah satu negara dengan ekonomi besar di kawasan, Indonesia berkomitmen untuk berperan aktif dalam memastikan kesetaraan dalam perdagangan global."
118,"Dalam KTT APEC kali ini, Prabowo mengadakan sejumlah pertemuan bilateral dengan pemimpin negara lain, membahas langkah-langkah untuk memperkuat hubungan dagang, meningkatkan investasi, dan menjajaki kerja sama baru yang saling menguntungkan."
119,"KTT APEC 2024 di Lima juga menjadi momentum penting bagi Indonesia untuk memperjuangkan perdagangan inklusif yang memberikan manfaat tidak hanya bagi negara-negara besar, tetapi juga bagi ekonomi kecil dan berkembang di kawasan Asia-Pasifik."
120,"Ekonomi Digital Indonesia 2024 Tembus Rp 1.420 Triliun, Terbesar di Asia Tenggara"
121,Industri ekonomi digital Indonesia ditaksir mencapai nilai 90 miliar dollar AS atau kira-kira setara Rp 1.420 triliun pada tahun ini.
122,"Angka tersebut dilansir Google dalam laporan tahunan bertajuk ""e-Conomy SEA 2024"" baru-baru ini."
123,"Laporan yang disusun Google bersama Temasek dan Bain & Company itu, salah satunya memberikan gambaran soal ekonomi digital di enam negara yang ada di wilayah Asia Tenggara, termasuk Indonesia."
124,"Country Director Google Indonesia Veronica Utami mengatakan, ekonomi digital Indonesia akan mencapai Gross Merchandise Value (GMV) sebesar 90 miliar dollar AS atau setara Rp 1.419,8 triliun pada 2024."
125,Angka tersebut naik 13% dibandingkan estimasi GMV tahun 2023 yang sebesar 80 miliar dollar AS.
126,"""Dengan GMV tersebut, menjadikan Indonesia sebagai negara dengan GMV terbesar di Asia Tenggara,"" kata Veronica saat memaparkan laporan e-Conomy SEA 2024 di kantor Google di Jakarta Selatan, Rabu (13/11/2024)."
127,"Galuh Putri Country Director Google Indonesia Veronica Utami memaparkan laporan e-Conomy SEA 2024 untuk wilayah Indonesia di kantor Google di Jakarta Selatan, Rabu (13/11/2024)"
128,Gross Merchandise Value (GMV) ekonomi digital adalah akumulasi nilai pembelian dari masyarakat Indonesia lewat platform digital.
129,Atau sederhananya adalah pendapatan berdasarkan hasil akumulasi belanja masyarakat.
130,Veronica mengatakan ada enam sektor yang menunjang pertumbuhan ekonomi digital di Indonesia.
131,Salah satunya sektor e-commerce.
132,"Menurut laporan e-Conomy SEA 2024, sektor e-commerce di Indonesia ditaksir memiliki GMV senilai 65 miliar dollar AS atau setara Rp 1.026,1 triliun pada 2024, naik 11% dari 2023."
133,"""Ini menjadikan e-commerce sebagai sektor dengan kontributor terbesar bagi ekonomi digital Indonesia,"" kata Veronica."
134,"Pertumbuhan sektor e-commerce di Indonesia ini didorong oleh fitur-fitur baru, seperti video commerce, termasuk live shopping."
135,"Veronica menjelaskan, kehadiran fitur video commerce ini meningkatkan pengalaman pengguna dalam berbelanja."
136,"Bahkan, menurut laporan Google, Indonesia merupakan pasar dengan pertumbuhan tercepat kedua terkait jumlah video yang diunggah kreator."
137,Adapun tingkat pertumbuhan tahunan rata-rata kumulatif (CAGR) sebesar 16% dari 2022 hingga 2024.
138,"Artinya, dalam dua tahun terakhir, kreator semakin banyak mengunggah video yang mendorong masyarakat untuk belanja atau check out di platform digital."
139,"Menurut Veronica, kini, video commerce menjadi penggerak utama sektor e-commerce di Indonesia."
140,"Ini terlihat dari kontribusi video commerce yang meningkat ke angka 20% di 2024, naik dari 2022 yang sebesar 5%."
141,"Kesulitan Ekonomi, Terdakwa Pungli Rutan KPK Baru Kembalikan Uang Ratusan Ribu dari Ratusan Juta yang Diterima"
142,Sejumlah terdakwa dugaan pungutan liar (pungli) di Rumah Tahanan Komisi Pemberantasan Korupsi (Rutan KPK) baru mengembalikan ratusan ribu rupiah ke rekening negara dari puluhan hingga ratusan juta rupiah yang mereka terima.
143,"Mantan petugas Rutan KPK Ramadhan Ubaidillah misalnya baru mengembalikan Rp 300.000, padhaal ia didakwa menerima uang pungli sebesar Rp 135,5 juta selama beberapa tahun."
144,"“Terkait Rp 135,5 juta, apakah saudara sudah mengembalikan?” tanya jaksa KPK kepada Ramadhan dalam sidang lanjutan di Pengadilan Tipikor Jakarta, Senin (18/11/2024)."
145,"“Izin Pak Jaksa, saya baru mengembalikan kalau menurut informasi dari istri saya baru Rp 300 ribu,” jawab Ubaidillah."
146,"Mantan petugas KPK lainnya, Muhammad Abduh mengaku menerima uang pungli Rp 94 juta dalam kurun November 2019 hingga Mei 2023."
147,"Ketika dikonfirmasi oleh Jaksa KPK, ia mengaku baru mengembalikan Rp 550 ribu."
148,"“Seingat saya istri saya baru mengembalikan sebesar Rp 550 ribu,"" kata Abduh."
149,"Sementara itu, mantan Pelaksana Tugas (Plt) Kepala Rutan KPK Deden Rohendi yang menerima uang pungli Rp 399.500.000 baru mengembalikan Rp 2,5 juta."
150,"Baik Deden maupun terdakwa kasus pungli lainnya menyatakan beritikad baik untuk mengembalikan uang haram itu ke negara,"
151,"“Jadi, saya jelaskan di sini, saya terima gaji polisi Rp 1,7  tapi saya akan berusaha beritikad baik bagaimana caranya, caranya bagaimana akan saya kembalikan Pak,” tutur Deden."
152,"Dalam persidangan itu terungkap, beberapa petugas KPK yang semula adalah satpam dengan status pegawai tidak tetap (PTT) diangkat menjadi aparatur sipil negara (ASN)."
153,Banyak dari mereka kemudian menggadaikan Surat Keputusan (SK) pengangkatan sebagai ASN tersebut ke bank dengan nilai sekitar Rp 300 juta dengan pelunasan 10 tahun.
154,"Sampai saat ini, setiap bulannya, mereka harus membayar cicilan tersebut yang dipotong secara otomatis dari gaji oleh pihak bank."
155,"Sementara itu, karena berstatus terdakwa, gaji mereka saat ini dipotong 50% dan istri mereka tidak bekerja."
156,"Oleh karena itu, banyak terdakwa kasus pungli rutan ini baru mengembalikan uang hasil pungli senilai ratusan ribu rupiah karena mengalami kesulitan ekonomi."
157,Pertumbuhan Ekonomi Kuartal III-2024 Ditopang Pertumbuhan Konsumsi Rumah Tanga
158,"Ekonom memprediksi pertumbuhan ekonomi Indonesia periode Kuartal III 2024 akan di bawah kuartal sebelumnya yang sebesar 5,05% secara tahunan ."
159,"Kepala Ekonom Bank Permata Josua Pardede memperkirakan pertumbuhan ekonomi Kuartal III 2024 sedikit lebih rendah dari kuartal II 2024, yakni menjadi 5,02%."
160,"“Pertumbuhan ekonomi Kuartal III 2024 diperkirakan berkisar 5,02% secara tahunan dari kuartal sebelumnya 5,05% secara tahunan,” kata Josua kepada , Senin (5/11/2024)."
161,"Josua menyebut, pertumbuhan ekonomi pada periode ini ditopang oleh konsumsi rumah tangga yang diperkirakan tumbuh 5,03% secara tahunan."
162,"Lebih tinggi dibandingkan pada Kuartal II 2024 yang sebesar 4,93%, tetapi lebih rendah dari Kuartal III 2023 yang sebesar 5,05% secara tahunan."
163,"Peningkatan laju konsumsi rumah tangga juga terindikasi dari beberapa indikator, seperti:"
164,"Penjualan ritel pada akhir Kuartal III 2024 tercatat 4,7% secara tahunan."
165,"Angka ini jauh lebih tinggi dari Kuartal II 2024 yang sebesar 2,72% secara tahunan maupun Kuartal III 2023 yang sebesar 1,48% secara tahunan."
166,"Indeks Kepercayaan Konsumen pada akhir Kuartal III 2024 juga menunjukkan kondisi yang baik, di mana tumbuh sekitar 1,5% secara tahunan dibandingkan kuartal sebelumnya yang -2,98% secara tahunan."
167,"""Konsumsi yang solid tersebut ditopang oleh tren penurunan inflasi sisi penawaran, terutama inflasi harga bergejolak dan harga yang diatur pemerintah."
168,"Sementara inflasi inti cenderung menunjukkan tren peningkatan hingga akhir Kuartal III 2024 tercatat 2,09% secara tahunan,"" jelasnya."
169,"Di sisi lain, belanja pemerintah pada periode ini diperkirakan tumbuh 4,13% secara secara tahunan."
170,"Angka ini meningkat dibandingkan belanja pemerintah pada kuartal sebelumnya yang sebesar 1,42% dan -3,93% pada tahun sebelumnya."
171,"“Peningkatan laju belanja pemerintah terindikasi dari peningkatan belanja barang dan belanja pegawai,” ucapnya."
172,"Secara keseluruhan, Josua memperkirakan, pertumbuhan ekonomi sepanjang 2024 akan berkisar 5,04% secara tahunan atau sedikit melambat dari tahun 2023 yang tercatat 5,05% secara tahunan."
173,"Bangun Jejaring Global, GP Ansor Belajar Ekonomi China di Shanghai"
174,"Ketua Umum GP Ansor Addin Jauharudin menghadiri China Economic and Social Forum 2024 yang diselenggarakan di Shanghai, Tiongkok, Kamis (7/11/2024)."
175,"Ia hadir bersama Ketua Bidang Hubungan Internasional GP Ansor, Dianta Sebayang, yang juga pengamat ekonomi dari Universitas Negeri Jakarta, serta Wasekjen Bidang Hubungan Internasional, Budy Sugandi, alumni doktoral dari Southwest University, China,"
176,"Forum ini, yang memasuki tahun ke-19, diselenggarakan oleh China Economic and Social Council (CESC) dengan tema utama ""Building a Community with a Shared Future for Mankind, Working Together to Make a Modern World""."
177,Tujuan utama forum ini adalah untuk mendorong sinergitas global dalam pembangunan sosial dan ekonomi yang inklusif serta memperkuat kerja sama internasional demi menciptakan perdamaian dan kemakmuran bersama.
178,CESC berfungsi sebagai think tank tingkat tinggi yang berada di bawah naungan Chinese People’s Political Consultative Conference (CPPCC).
179,"Sejak pertama kali diadakan pada tahun 2006, forum ini telah menjadi platform strategis bagi para pemimpin dunia, akademisi, dan berbagai pemangku kepentingan lintas sektor untuk membahas isu-isu global penting."
180,Fokus utama forum ini adalah menciptakan kerja sama internasional yang berkelanjutan dan konstruktif.
181,"Tahun ini, forum terbagi menjadi dua sesi paralel."
182,"Sesi pertama berjudul “Promoting Equal, Orderly Multi-polarization, and Inclusive Economic Globalization”, yang membahas langkah-langkah menuju sistem ekonomi global yang lebih adil dan terstruktur."
183,"Sesi kedua, dengan tema “Working for a Modernized World of Peaceful Development, Mutually Beneficial Cooperation, and Common Prosperity”, menyoroti pentingnya kolaborasi internasional dalam menciptakan dunia yang damai dan makmur."
184,"Dalam kesempatan tersebut, Gus Addin, ketua Umum GP Ansor, menyampaikan bahwa organisasi yang dipimpinnya harus terus memperkuat jejaring internasional."
185,"Menurutnya, ini sangat penting untuk memperkuat manajemen rantai pasok (supply chain management) sumber daya kader GP Ansor, baik di tingkat nasional maupun internasional."
186,"""Kita ingin memahami dan belajar langsung bagaimana transformasi masyarakat bukan sekadar mimpi, melainkan kenyataan, seperti yang terjadi di Shanghai,"" ungkap Gus Addin."
187,"Gus Addin juga menekankan bahwa Shanghai, sebagai kota terbesar di China, memiliki potensi luar biasa berkat keinginannya untuk terus berinovasi, khususnya dalam bidang teknologi, kecerdasan buatan (AI), dan energi terbarukan."
188,"""Kekuatan Shanghai terletak pada keinginan kuat kota ini untuk terus berinovasi,"" tegas Gus Addin dalam keterangan tertulis, Jumat (8/11/2024)."
189,"Dengan semangat inovasi dan visi global yang dimiliki Shanghai, Gus Addin berharap GP Ansor dapat terus berkembang dan tidak terlena dengan potensi besar yang sudah dimilikinya."
190,"""Ansor harus terus berinovasi dan berkembang, seperti halnya gedung tertinggi kedua di dunia yang berada di Shanghai,"" ujarnya, mengibaratkan cita-cita organisasi ini dengan kemegahan dan perkembangan pesat kota tersebut."
191,China Economic and Social Forum 2024 juga menegaskan komitmen China dalam membangun komunitas global yang berbasis pada perdamaian dan kemakmuran bersama.
192,Forum ini menjadi jembatan untuk menciptakan solusi inovatif terhadap tantangan global serta memperkuat fondasi pembangunan inklusif dan berkelanjutan.
193,"Dengan adanya partisipasi GP Ansor, diharapkan semakin banyak pemimpin dan organisasi dari Indonesia yang terinspirasi untuk memperkuat kolaborasi internasional dalam berbagai sektor, guna mencapai pembangunan yang lebih adil dan berkelanjutan bagi umat manusia."
194,"Pabrik Pohon Natal Terbesar di Indonesia Resmi Berdiri di Kendal, seperti Apa Rencananya ke Depan?"
195,"PT Polygroup Manufaktur Indonesia meresmikan pabrik barunya yang berlokasi di Kawasan Ekonomi Khusus (KEK) Kendal, Jawa Tengah, pada Rabu (13/11/2024)."
196,Pabrik ini akan menjadi pabrik pohon natal pertama dan terbesar di Indonesia.
197,"Sebelumnya, Polygroup telah dikenal sebagai perusahaan global terkemuka dengan empat fasilitas produksi yang tersebar di China dan Meksiko."
