,sentence,pos_tag
11,Data dari Bank Dunia menunjukkan hal menarik.,"[('Data', np.str_('NN')), ('dari', np.str_('IN')), ('Bank', np.str_('NNP')), ('Dunia', np.str_('NNP')), ('menunjukkan', np.str_('VB')), ('hal', np.str_('NN')), ('menarik', np.str_('VB')), ('.', 'SYM')]"
12,Sepuluh persen orang terkaya memiliki kontribusi 299 persen dari total kekayaan.,"[('Sepuluh', np.str_('NUM')), ('persen', np.str_('NUM')), ('orang', np.str_('NN')), ('terkaya', np.str_('VB')), ('memiliki', np.str_('VB')), ('kontribusi', np.str_('NN')), ('299', np.str_('NUM')), ('persen', np.str_('NUM')), ('dari', np.str_('IN')), ('total', np.str_('NN')), ('kekayaan', np.str_('NN')), ('.', 'SYM')]"
13,Ini meningkat dari tahun 2000 yaitu sebesar 256 persen.,"[('Ini', np.str_('PR')), ('meningkat', np.str_('VB')), ('dari', np.str_('IN')), ('tahun', np.str_('NN')), ('2000', np.str_('NUM')), ('yaitu', np.str_('SC')), ('sebesar', np.str_('NN')), ('256', np.str_('NUM')), ('persen', np.str_('NUM')), ('.', 'SYM')]"
14,Meski sempat mencapai titik tertinggi pada 2013 dan 2014 yaitu 315 persen kemudian mencapai 279 persen pada 2020 namun kembali naik pada 2021 hingga 2023.,"[('Meski', np.str_('SC')), ('sempat', np.str_('ADV')), ('mencapai', np.str_('VB')), ('titik', np.str_('NN')), ('tertinggi', np.str_('JJ')), ('pada', np.str_('IN')), ('2013', np.str_('NUM')), ('dan', np.str_('CC')), ('2014', np.str_('NUM')), ('yaitu', np.str_('SC')), ('315', np.str_('NUM')), ('persen', np.str_('NUM')), ('kemudian', np.str_('ADV')), ('mencapai', np.str_('VB')), ('279', np.str_('NUM')), ('persen', np.str_('NUM')), ('pada', np.str_('IN')), ('2020', np.str_('NUM')), ('namun', np.str_('CC')), ('kembali', np.str_('VB')), ('naik', np.str_('VB')), ('pada', np.str_('IN')), ('2021', np.str_('NUM')), ('hingga', np.str_('IN')), ('2023', np.str_('NUM')), ('.', 'SYM')]"
15,Dapat disimpulkan bahwa angka dominasi 10 persen orang terkaya cenderung tidak turun.,"[('Dapat', np.str_('ADV')), ('disimpulkan', np.str_('VB')), ('bahwa', np.str_('SC')), ('angka', np.str_('NN')), ('dominasi', np.str_('NN')), ('10', np.str_('NUM')), ('persen', np.str_('NUM')), ('orang', np.str_('NN')), ('terkaya', np.str_('VB')), ('cenderung', np.str_('JJ')), ('tidak', np.str_('NEG')), ('turun', np.str_('VB')), ('.', 'SYM')]"
16,Fakta lain menunjukkan bahwa 20 persen kelompok termiskin hanya memiliki kontribusi sebesar 79 persen pada 2023.,"[('Fakta', np.str_('NN')), ('lain', np.str_('JJ')), ('menunjukkan', np.str_('VB')), ('bahwa', np.str_('SC')), ('20', np.str_('NUM')), ('persen', np.str_('NUM')), ('kelompok', np.str_('NN')), ('termiskin', np.str_('VB')), ('hanya', np.str_('ADV')), ('memiliki', np.str_('VB')), ('kontribusi', np.str_('NN')), ('sebesar', np.str_('NN')), ('79', np.str_('NUM')), ('persen', np.str_('NUM')), ('pada', np.str_('IN')), ('2023', np.str_('NUM')), ('.', 'SYM')]"
17,Persentase ini turun dari 92 pada 2000.,"[('Persentase', np.str_('NN')), ('ini', np.str_('DT')), ('turun', np.str_('VB')), ('dari', np.str_('IN')), ('92', np.str_('NUM')), ('pada', np.str_('IN')), ('2000', np.str_('NUM')), ('.', 'SYM')]"
18,Secara umum belum terjadi perubahan signifikan dalam distribusi antara kelompok kaya dan kelompok miskin.,"[('Secara', np.str_('IN')), ('umum', np.str_('JJ')), ('belum', np.str_('NEG')), ('terjadi', np.str_('VB')), ('perubahan', np.str_('NN')), ('signifikan', np.str_('JJ')), ('dalam', np.str_('IN')), ('distribusi', np.str_('NN')), ('antara', np.str_('IN')), ('kelompok', np.str_('NN')), ('kaya', np.str_('JJ')), ('dan', np.str_('CC')), ('kelompok', np.str_('NN')), ('miskin', np.str_('ADV')), ('.', 'SYM')]"
19,Namun perlu digarisbawahi bahwa data tersebut didasarkan pada indikator konsumsi.,"[('Namun', np.str_('CC')), ('perlu', np.str_('ADV')), ('digarisbawahi', np.str_('VB')), ('bahwa', np.str_('SC')), ('data', np.str_('NN')), ('tersebut', np.str_('DT')), ('didasarkan', np.str_('VB')), ('pada', np.str_('IN')), ('indikator', np.str_('NN')), ('konsumsi', np.str_('NN')), ('.', 'SYM')]"
20,Ketimpangan yang diukur menggunakan indikator konsumsi biasanya lebih rendah dibandingkan dengan ketimpangan yang diukur berdasarkan data pendapatan.,"[('Ketimpangan', np.str_('NN')), ('yang', np.str_('PR')), ('diukur', np.str_('VB')), ('menggunakan', np.str_('VB')), ('indikator', np.str_('NN')), ('konsumsi', np.str_('NN')), ('biasanya', np.str_('ADV')), ('lebih', np.str_('ADV')), ('rendah', np.str_('JJ')), ('dibandingkan', np.str_('VB')), ('dengan', np.str_('IN')), ('ketimpangan', np.str_('NN')), ('yang', np.str_('PR')), ('diukur', np.str_('VB')), ('berdasarkan', np.str_('VB')), ('data', np.str_('NN')), ('pendapatan', np.str_('NN')), ('.', 'SYM')]"
21,Sayangnya tidak tersedia data pendapatan yang lengkap di Indonesia dan data pendapatan sering kali kurang dapat diandalkan di negara berkembang.,"[('Sayangnya', np.str_('NN')), ('tidak', np.str_('NEG')), ('tersedia', np.str_('VB')), ('data', np.str_('NN')), ('pendapatan', np.str_('NN')), ('yang', np.str_('PR')), ('lengkap', np.str_('JJ')), ('di', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('dan', np.str_('CC')), ('data', np.str_('NN')), ('pendapatan', np.str_('NN')), ('sering', np.str_('ADV')), ('kali', np.str_('NN')), ('kurang', np.str_('ADV')), ('dapat', np.str_('ADV')), ('diandalkan', np.str_('VB')), ('di', np.str_('IN')), ('negara', np.str_('NN')), ('berkembang', np.str_('VB')), ('.', 'SYM')]"
22,Pengukuran tingkat kemiskinan dan ketimpangan di Indonesia biasanya menggunakan data dari Survei Sosial Ekonomi Nasional Susenas.,"[('Pengukuran', np.str_('NN')), ('tingkat', np.str_('NN')), ('kemiskinan', np.str_('NN')), ('dan', np.str_('CC')), ('ketimpangan', np.str_('NN')), ('di', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('biasanya', np.str_('ADV')), ('menggunakan', np.str_('VB')), ('data', np.str_('NN')), ('dari', np.str_('IN')), ('Survei', np.str_('NNP')), ('Sosial', np.str_('NNP')), ('Ekonomi', np.str_('NNP')), ('Nasional', np.str_('NNP')), ('Susenas', np.str_('NNP')), ('.', 'SYM')]"
23,Dalam kondisi ideal data pendapatan seharusnya mencakup beberapa komponen pendapatan rumah tangga.,"[('Dalam', np.str_('IN')), ('kondisi', np.str_('NN')), ('ideal', np.str_('JJ')), ('data', np.str_('NN')), ('pendapatan', np.str_('NN')), ('seharusnya', np.str_('ADV')), ('mencakup', np.str_('VB')), ('beberapa', np.str_('DT')), ('komponen', np.str_('NN')), ('pendapatan', np.str_('NN')), ('rumah', np.str_('NN')), ('tangga', np.str_('NN')), ('.', 'SYM')]"
24,Selain pendapatan dari gaji salary income atau wage income biasanya juga mencakup pendapatan dari pengelolaan bisnis business income pendapatan dari investasi investment income serta pendapatan dari subsidi dan pengurangan pajak tax-benefit income.,"[('Selain', np.str_('CC')), ('pendapatan', np.str_('NN')), ('dari', np.str_('IN')), ('gaji', np.str_('NN')), ('salary', np.str_('FW')), ('income', np.str_('FW')), ('atau', np.str_('CC')), ('wage', np.str_('FW')), ('income', np.str_('FW')), ('biasanya', np.str_('ADV')), ('juga', np.str_('ADV')), ('mencakup', np.str_('VB')), ('pendapatan', np.str_('NN')), ('dari', np.str_('IN')), ('pengelolaan', np.str_('NN')), ('bisnis', np.str_('NN')), ('business', np.str_('FW')), ('income', np.str_('FW')), ('pendapatan', np.str_('NN')), ('dari', np.str_('IN')), ('investasi', np.str_('NN')), ('investment', np.str_('NN')), ('income', np.str_('FW')), ('serta', np.str_('CC')), ('pendapatan', np.str_('NN')), ('dari', np.str_('IN')), ('subsidi', np.str_('NN')), ('dan', np.str_('CC')), ('pengurangan', np.str_('NN')), ('pajak', np.str_('NN')), ('tax-benefit', np.str_('NN')), ('income', np.str_('FW')), ('.', 'SYM')]"
25,Komponen gaji bisa terlihat dari Survei Angkatan Kerja Nasional Sakernas yang biasanya diadakan pada Februari dan Agustus tiap tahun.,"[('Komponen', np.str_('NNP')), ('gaji', np.str_('NN')), ('bisa', np.str_('ADV')), ('terlihat', np.str_('VB')), ('dari', np.str_('IN')), ('Survei', np.str_('NNP')), ('Angkatan', np.str_('NNP')), ('Kerja', np.str_('NNP')), ('Nasional', np.str_('NNP')), ('Sakernas', np.str_('NNP')), ('yang', np.str_('PR')), ('biasanya', np.str_('ADV')), ('diadakan', np.str_('VB')), ('pada', np.str_('IN')), ('Februari', np.str_('NNP')), ('dan', np.str_('CC')), ('Agustus', np.str_('NNP')), ('tiap', np.str_('NUM')), ('tahun', np.str_('NN')), ('.', 'SYM')]"
26,Berdasarkan data statistik sebagian besar tenaga kerja di Indonesia berada di sektor informal.,"[('Berdasarkan', np.str_('VB')), ('data', np.str_('NN')), ('statistik', np.str_('NN')), ('sebagian', np.str_('NN')), ('besar', np.str_('JJ')), ('tenaga', np.str_('NN')), ('kerja', np.str_('NN')), ('di', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('berada', np.str_('VB')), ('di', np.str_('IN')), ('sektor', np.str_('NN')), ('informal', np.str_('JJ')), ('.', 'SYM')]"
27,Pada 2019 proporsi tenaga kerja formal tercatat sebesar 4412 persen.,"[('Pada', np.str_('IN')), ('2019', np.str_('NUM')), ('proporsi', np.str_('NN')), ('tenaga', np.str_('NN')), ('kerja', np.str_('NN')), ('formal', np.str_('NN')), ('tercatat', np.str_('VB')), ('sebesar', np.str_('NN')), ('4412', np.str_('NUM')), ('persen', np.str_('NUM')), ('.', 'SYM')]"
28,Namun pada 2023 angka tersebut justru menurun signifikan menjadi 4089 persen.,"[('Namun', np.str_('CC')), ('pada', np.str_('IN')), ('2023', np.str_('NUM')), ('angka', np.str_('NN')), ('tersebut', np.str_('DT')), ('justru', np.str_('ADV')), ('menurun', np.str_('VB')), ('signifikan', np.str_('JJ')), ('menjadi', np.str_('VB')), ('4089', np.str_('NUM')), ('persen', np.str_('NUM')), ('.', 'SYM')]"
29,Penghapusan Piutang UMKM Dapat Berdayakan Perempuan,"[('Penghapusan', np.str_('NN')), ('Piutang', np.str_('NNP')), ('UMKM', np.str_('NNP')), ('Dapat', np.str_('ADV')), ('Berdayakan', np.str_('NNP')), ('Perempuan', np.str_('NN'))]"
30,Menteri Pemberdayaan Perempuan dan Perlindungan Anak PPPA Arifah Fauzi menilai penghapusan piutang macet bagi usaha mikro kecil dan menengah UMKM dapat berdampak positif bagi pelaku usaha perempuan.,"[('Menteri', np.str_('NNP')), ('Pemberdayaan', np.str_('NNP')), ('Perempuan', np.str_('NNP')), ('dan', np.str_('CC')), ('Perlindungan', np.str_('NNP')), ('Anak', np.str_('NNP')), ('PPPA', np.str_('NNP')), ('Arifah', np.str_('NNP')), ('Fauzi', np.str_('NNP')), ('menilai', np.str_('VB')), ('penghapusan', np.str_('NN')), ('piutang', np.str_('NN')), ('macet', np.str_('NN')), ('bagi', np.str_('IN')), ('usaha', np.str_('NN')), ('mikro', np.str_('NN')), ('kecil', np.str_('JJ')), ('dan', np.str_('CC')), ('menengah', np.str_('VB')), ('UMKM', np.str_('NNP')), ('dapat', np.str_('ADV')), ('berdampak', np.str_('VB')), ('positif', np.str_('JJ')), ('bagi', np.str_('IN')), ('pelaku', np.str_('NN')), ('usaha', np.str_('NN')), ('perempuan', np.str_('NN')), ('.', 'SYM')]"
31,Dia menyampaikan melalui Peraturan Pemerintah PP Nomor 47 Tahun 2024 pelaku usaha perempuan dapat meneruskan dan meningkatkan daya saing usahanya.,"[('Dia', np.str_('PR')), ('menyampaikan', np.str_('VB')), ('melalui', np.str_('IN')), ('Peraturan', np.str_('NN')), ('Pemerintah', np.str_('NNP')), ('PP', np.str_('NNP')), ('Nomor', np.str_('NNP')), ('47', np.str_('NUM')), ('Tahun', np.str_('NNP')), ('2024', np.str_('NUM')), ('pelaku', np.str_('NN')), ('usaha', np.str_('NN')), ('perempuan', np.str_('NN')), ('dapat', np.str_('ADV')), ('meneruskan', np.str_('VB')), ('dan', np.str_('CC')), ('meningkatkan', np.str_('VB')), ('daya', np.str_('NN')), ('saing', np.str_('NN')), ('usaha', np.str_('NN')), ('nya', np.str_('PR')), ('.', 'SYM')]"
32,Bicara tentang potensi perempuan tidak terlepas dari pemberdayaan ekonomi melalui upaya pengembangan UMKM kata Arifah dilansir dari siaran pers Sabtu 9/11/2024.,"[('Bicara', np.str_('VB')), ('tentang', np.str_('IN')), ('potensi', np.str_('NN')), ('perempuan', np.str_('NN')), ('tidak', np.str_('NEG')), ('terlepas', np.str_('VB')), ('dari', np.str_('IN')), ('pemberdayaan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('melalui', np.str_('IN')), ('upaya', np.str_('NN')), ('pengembangan', np.str_('NN')), ('UMKM', np.str_('NNP')), ('kata', np.str_('NN')), ('Arifah', np.str_('NNP')), ('dilansir', np.str_('VB')), ('dari', np.str_('IN')), ('siaran', np.str_('NN')), ('pers', np.str_('NN')), ('Sabtu', np.str_('NNP')), ('9/11/2024', np.str_('NUM')), ('.', 'SYM')]"
33,Dia menyampaikan berdasarkan catatan Kementerian Koperasi dan Usaha Kecil dan Menengah tahun 2019 dari total UMKM di Indonesia yang berjumlah 655 juta 64 jutanya adalah usaha mikro.,"[('Dia', np.str_('PR')), ('menyampaikan', np.str_('VB')), ('berdasarkan', np.str_('VB')), ('catatan', np.str_('NN')), ('Kementerian', np.str_('NNP')), ('Koperasi', np.str_('NNP')), ('dan', np.str_('CC')), ('Usaha', np.str_('NNP')), ('Kecil', np.str_('NNP')), ('dan', np.str_('CC')), ('Menengah', np.str_('NNP')), ('tahun', np.str_('NN')), ('2019', np.str_('NUM')), ('dari', np.str_('IN')), ('total', np.str_('NN')), ('UMKM', np.str_('NNP')), ('di', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('yang', np.str_('PR')), ('berjumlah', np.str_('VB')), ('655', np.str_('NUM')), ('juta', np.str_('NUM')), ('64', np.str_('NUM')), ('juta', np.str_('NUM')), ('nya', np.str_('PR')), ('adalah', np.str_('ADV')), ('usaha', np.str_('NN')), ('mikro', np.str_('NN')), ('.', 'SYM')]"
34,Dari angka 64 juta usaha mikro tersebut lebih dari setengahnya dimiliki dan dikelola oleh perempuan.,"[('Dari', np.str_('IN')), ('angka', np.str_('NN')), ('64', np.str_('NUM')), ('juta', np.str_('NUM')), ('usaha', np.str_('NN')), ('mikro', np.str_('NN')), ('tersebut', np.str_('DT')), ('lebih', np.str_('JJ')), ('dari', np.str_('IN')), ('setengahnya', np.str_('ADV')), ('dimiliki', np.str_('VB')), ('dan', np.str_('CC')), ('dikelola', np.str_('VB')), ('oleh', np.str_('IN')), ('perempuan', np.str_('NN')), ('.', 'SYM')]"
35,Dengan demikian perempuan memiliki peran penting dalam pemulihan ekonomi nasional.,"[('Dengan', np.str_('IN')), ('demikian', np.str_('PR')), ('perempuan', np.str_('NN')), ('memiliki', np.str_('VB')), ('peran', np.str_('NN')), ('penting', np.str_('JJ')), ('dalam', np.str_('SC')), ('pemulihan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('nasional', np.str_('JJ')), ('.', 'SYM')]"
36,Dengan diterbitkannya PP Nomor 47 Tahun 2024 menunjukkan bahwa negara hadir untuk UMKM.,"[('Dengan', np.str_('IN')), ('diterbitkan', np.str_('VB')), ('nya', np.str_('DT')), ('PP', np.str_('NNP')), ('Nomor', np.str_('NNP')), ('47', np.str_('NUM')), ('Tahun', np.str_('NNP')), ('2024', np.str_('NUM')), ('menunjukkan', np.str_('VB')), ('bahwa', np.str_('SC')), ('negara', np.str_('NN')), ('hadir', np.str_('VB')), ('untuk', np.str_('IN')), ('UMKM', np.str_('NNP')), ('.', 'SYM')]"
37,Dan memberikan kesempatan kepada perempuan sebagai pelaku UMKM untuk lebih produktif dan memperkuat daya saingnya di pasar papar Arifah.,"[('Dan', np.str_('CC')), ('memberikan', np.str_('VB')), ('kesempatan', np.str_('NN')), ('kepada', np.str_('IN')), ('perempuan', np.str_('NN')), ('sebagai', np.str_('IN')), ('pelaku', np.str_('NN')), ('UMKM', np.str_('NNP')), ('untuk', np.str_('SC')), ('lebih', np.str_('ADV')), ('produktif', np.str_('JJ')), ('dan', np.str_('CC')), ('memperkuat', np.str_('VB')), ('daya', np.str_('NN')), ('saing', np.str_('NN')), ('nya', np.str_('PR')), ('di', np.str_('IN')), ('pasar', np.str_('NN')), ('papar', np.str_('VB')), ('Arifah', np.str_('NNP')), ('.', 'SYM')]"
38,Arifah berujar pemerintah menyadari bahwa nelayan petani dan UMKM terutama yang dikelola perempuan adalah tulang punggung ekonomi rakyat.,"[('Arifah', np.str_('NNP')), ('berujar', np.str_('VB')), ('pemerintah', np.str_('NN')), ('menyadari', np.str_('VB')), ('bahwa', np.str_('SC')), ('nelayan', np.str_('NN')), ('petani', np.str_('NN')), ('dan', np.str_('CC')), ('UMKM', np.str_('NNP')), ('terutama', np.str_('JJ')), ('yang', np.str_('PR')), ('dikelola', np.str_('VB')), ('perempuan', np.str_('NN')), ('adalah', np.str_('ADV')), ('tulang', np.str_('NN')), ('punggung', np.str_('NN')), ('ekonomi', np.str_('NN')), ('rakyat', np.str_('NN')), ('.', 'SYM')]"
39,Melalui PP tersebut jelas Arifah pemerintah memperkuat komitmennya untuk menciptakan kesempatan yang lebih adil bagi kelompok rentan.,"[('Melalui', np.str_('IN')), ('PP', np.str_('NNP')), ('tersebut', np.str_('DT')), ('jelas', np.str_('JJ')), ('Arifah', np.str_('NNP')), ('pemerintah', np.str_('NN')), ('memperkuat', np.str_('VB')), ('komitmen', np.str_('NN')), ('nya', np.str_('PR')), ('untuk', np.str_('SC')), ('menciptakan', np.str_('VB')), ('kesempatan', np.str_('NN')), ('yang', np.str_('PR')), ('lebih', np.str_('ADV')), ('adil', np.str_('JJ')), ('bagi', np.str_('IN')), ('kelompok', np.str_('NN')), ('rentan', np.str_('JJ')), ('.', 'SYM')]"
40,Kebijakan ini juga menjadi sebuah harapan yang besar bagi perempuan-perempuan kelompok rentan yakni perempuan kepala keluarga perempuan penyintas bencana dan perempuan penyintas kekerasan yang menjadi dampingan Kemen PPPA untuk memulai sebagai wirausaha papar Arifah.,"[('Kebijakan', np.str_('NN')), ('ini', np.str_('DT')), ('juga', np.str_('ADV')), ('menjadi', np.str_('VB')), ('sebuah', np.str_('DT')), ('harapan', np.str_('NN')), ('yang', np.str_('PR')), ('besar', np.str_('JJ')), ('bagi', np.str_('IN')), ('perempuan-perempuan', np.str_('NN')), ('kelompok', np.str_('NN')), ('rentan', np.str_('JJ')), ('yakni', np.str_('SC')), ('perempuan', np.str_('NN')), ('kepala', np.str_('NN')), ('keluarga', np.str_('NN')), ('perempuan', np.str_('NN')), ('penyintas', np.str_('NN')), ('bencana', np.str_('NN')), ('dan', np.str_('CC')), ('perempuan', np.str_('NN')), ('penyintas', np.str_('NN')), ('kekerasan', np.str_('NN')), ('yang', np.str_('PR')), ('menjadi', np.str_('VB')), ('dampingan', np.str_('NN')), ('Kemen', np.str_('NNP')), ('PPPA', np.str_('NNP')), ('untuk', np.str_('SC')), ('memulai', np.str_('VB')), ('sebagai', np.str_('IN')), ('wirausaha', np.str_('NN')), ('papar', np.str_('VB')), ('Arifah', np.str_('NNP')), ('.', 'SYM')]"
41,Dia menambahkan pemerintah akan terus berupaya untuk menciptakan kebijakan yang pro-rakyat dan mendukung pemulihan ekonomi di semua lapisan masyarakat.,"[('Dia', np.str_('PR')), ('menambahkan', np.str_('VB')), ('pemerintah', np.str_('NN')), ('akan', np.str_('ADV')), ('terus', np.str_('ADV')), ('berupaya', np.str_('VB')), ('untuk', np.str_('SC')), ('menciptakan', np.str_('VB')), ('kebijakan', np.str_('NN')), ('yang', np.str_('PR')), ('pro-rakyat', np.str_('NN')), ('dan', np.str_('CC')), ('mendukung', np.str_('VB')), ('pemulihan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('di', np.str_('IN')), ('semua', np.str_('DT')), ('lapisan', np.str_('NN')), ('masyarakat', np.str_('NN')), ('.', 'SYM')]"
42,Prabowo Dorong Sinergi Ekonomi Indonesia-Brasil Nyatakan Ingin Gabung BRICS,"[('Prabowo', np.str_('NNP')), ('Dorong', np.str_('NNP')), ('Sinergi', np.str_('NNP')), ('Ekonomi', np.str_('NNP')), ('Indonesia-Brasil', np.str_('NNP')), ('Nyatakan', np.str_('NNP')), ('Ingin', np.str_('ADV')), ('Gabung', np.str_('NNP')), ('BRICS', np.str_('NNP'))]"
43,Presiden Prabowo Subianto menyoroti banyaknya kesamaan antara Indonesia dan Brasil mulai dari sumber daya alam maupun visi strategis untuk masa depan.,"[('Presiden', np.str_('NN')), ('Prabowo', np.str_('NNP')), ('Subianto', np.str_('NNP')), ('menyoroti', np.str_('VB')), ('banyak', np.str_('JJ')), ('nya', np.str_('DT')), ('kesamaan', np.str_('NN')), ('antara', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('dan', np.str_('CC')), ('Brasil', np.str_('NNP')), ('mulai', np.str_('VB')), ('dari', np.str_('IN')), ('sumber', np.str_('NN')), ('daya', np.str_('NN')), ('alam', np.str_('NN')), ('maupun', np.str_('CC')), ('visi', np.str_('NN')), ('strategis', np.str_('JJ')), ('untuk', np.str_('SC')), ('masa', np.str_('NN')), ('depan', np.str_('ADV')), ('.', 'SYM')]"
44,Untuk itu Prabowo menginginkan Indonesia dan Brasil bersinergi dalam hal perekonomian.,"[('Untuk', np.str_('IN')), ('itu', np.str_('PR')), ('Prabowo', np.str_('NNP')), ('menginginkan', np.str_('VB')), ('Indonesia', np.str_('NNP')), ('dan', np.str_('CC')), ('Brasil', np.str_('NNP')), ('bersinergi', np.str_('VB')), ('dalam', np.str_('IN')), ('hal', np.str_('NN')), ('perekonomian', np.str_('NN')), ('.', 'SYM')]"
