,sentence,pos_tag
10,Kekayaan 50 orang terkaya di negara ini setara dengan kekayaan 50 juta warga Indonesia.,"[('Kekayaan', 'NN'), ('50', 'NUM'), ('orang', 'NN'), ('terkaya', 'VB'), ('di', 'IN'), ('negara', 'NN'), ('ini', 'DT'), ('setara', 'NN'), ('dengan', 'IN'), ('kekayaan', 'NN'), ('50', 'NUM'), ('juta', 'NUM'), ('warga', 'NN'), ('Indonesia', 'NNP'), ('.', 'SYM')]"
11,Data dari Bank Dunia menunjukkan hal menarik.,"[('Data', 'NN'), ('dari', 'IN'), ('Bank', 'NNP'), ('Dunia', 'NNP'), ('menunjukkan', 'VB'), ('hal', 'NN'), ('menarik', 'VB'), ('.', 'SYM')]"
12,Sepuluh persen orang terkaya memiliki kontribusi 299 persen dari total kekayaan.,"[('Sepuluh', 'NUM'), ('persen', 'NUM'), ('orang', 'NN'), ('terkaya', 'VB'), ('memiliki', 'VB'), ('kontribusi', 'NN'), ('299', 'NUM'), ('persen', 'NUM'), ('dari', 'IN'), ('total', 'NN'), ('kekayaan', 'NN'), ('.', 'SYM')]"
13,Ini meningkat dari tahun 2000 yaitu sebesar 256 persen.,"[('Ini', 'PR'), ('meningkat', 'VB'), ('dari', 'IN'), ('tahun', 'NN'), ('2000', 'NUM'), ('yaitu', 'SC'), ('sebesar', 'NN'), ('256', 'NUM'), ('persen', 'NUM'), ('.', 'SYM')]"
14,Meski sempat mencapai titik tertinggi pada 2013 dan 2014 yaitu 315 persen kemudian mencapai 279 persen pada 2020 namun kembali naik pada 2021 hingga 2023.,"[('Meski', 'SC'), ('sempat', 'ADV'), ('mencapai', 'VB'), ('titik', 'NN'), ('tertinggi', 'JJ'), ('pada', 'IN'), ('2013', 'NUM'), ('dan', 'CC'), ('2014', 'NUM'), ('yaitu', 'SC'), ('315', 'NUM'), ('persen', 'NUM'), ('kemudian', 'ADV'), ('mencapai', 'VB'), ('279', 'NUM'), ('persen', 'NUM'), ('pada', 'IN'), ('2020', 'NUM'), ('namun', 'CC'), ('kembali', 'VB'), ('naik', 'VB'), ('pada', 'IN'), ('2021', 'NUM'), ('hingga', 'IN'), ('2023', 'NUM'), ('.', 'SYM')]"
15,Dapat disimpulkan bahwa angka dominasi 10 persen orang terkaya cenderung tidak turun.,"[('Dapat', 'ADV'), ('disimpulkan', 'VB'), ('bahwa', 'SC'), ('angka', 'NN'), ('dominasi', 'NN'), ('10', 'NUM'), ('persen', 'NUM'), ('orang', 'NN'), ('terkaya', 'VB'), ('cenderung', 'JJ'), ('tidak', 'NEG'), ('turun', 'VB'), ('.', 'SYM')]"
16,Fakta lain menunjukkan bahwa 20 persen kelompok termiskin hanya memiliki kontribusi sebesar 79 persen pada 2023.,"[('Fakta', 'NN'), ('lain', 'JJ'), ('menunjukkan', 'VB'), ('bahwa', 'SC'), ('20', 'NUM'), ('persen', 'NUM'), ('kelompok', 'NN'), ('termiskin', 'VB'), ('hanya', 'ADV'), ('memiliki', 'VB'), ('kontribusi', 'NN'), ('sebesar', 'NN'), ('79', 'NUM'), ('persen', 'NUM'), ('pada', 'IN'), ('2023', 'NUM'), ('.', 'SYM')]"
17,Persentase ini turun dari 92 pada 2000.,"[('Persentase', 'NN'), ('ini', 'DT'), ('turun', 'VB'), ('dari', 'IN'), ('92', 'NUM'), ('pada', 'IN'), ('2000', 'NUM'), ('.', 'SYM')]"
18,Secara umum belum terjadi perubahan signifikan dalam distribusi antara kelompok kaya dan kelompok miskin.,"[('Secara', 'IN'), ('umum', 'JJ'), ('belum', 'NEG'), ('terjadi', 'VB'), ('perubahan', 'NN'), ('signifikan', 'JJ'), ('dalam', 'IN'), ('distribusi', 'NN'), ('antara', 'IN'), ('kelompok', 'NN'), ('kaya', 'JJ'), ('dan', 'CC'), ('kelompok', 'NN'), ('miskin', 'ADV'), ('.', 'SYM')]"
19,Namun perlu digarisbawahi bahwa data tersebut didasarkan pada indikator konsumsi.,"[('Namun', 'CC'), ('perlu', 'ADV'), ('digarisbawahi', 'VB'), ('bahwa', 'SC'), ('data', 'NN'), ('tersebut', 'DT'), ('didasarkan', 'VB'), ('pada', 'IN'), ('indikator', 'NN'), ('konsumsi', 'NN'), ('.', 'SYM')]"
20,Ketimpangan yang diukur menggunakan indikator konsumsi biasanya lebih rendah dibandingkan dengan ketimpangan yang diukur berdasarkan data pendapatan.,"[('Ketimpangan', 'NN'), ('yang', 'PR'), ('diukur', 'VB'), ('menggunakan', 'VB'), ('indikator', 'NN'), ('konsumsi', 'NN'), ('biasanya', 'ADV'), ('lebih', 'ADV'), ('rendah', 'JJ'), ('dibandingkan', 'VB'), ('dengan', 'IN'), ('ketimpangan', 'NN'), ('yang', 'PR'), ('diukur', 'VB'), ('berdasarkan', 'VB'), ('data', 'NN'), ('pendapatan', 'NN'), ('.', 'SYM')]"
21,Sayangnya tidak tersedia data pendapatan yang lengkap di Indonesia dan data pendapatan sering kali kurang dapat diandalkan di negara berkembang.,"[('Sayangnya', 'NN'), ('tidak', 'NEG'), ('tersedia', 'VB'), ('data', 'NN'), ('pendapatan', 'NN'), ('yang', 'PR'), ('lengkap', 'JJ'), ('di', 'IN'), ('Indonesia', 'NNP'), ('dan', 'CC'), ('data', 'NN'), ('pendapatan', 'NN'), ('sering', 'ADV'), ('kali', 'NN'), ('kurang', 'ADV'), ('dapat', 'ADV'), ('diandalkan', 'VB'), ('di', 'IN'), ('negara', 'NN'), ('berkembang', 'VB'), ('.', 'SYM')]"
22,Pengukuran tingkat kemiskinan dan ketimpangan di Indonesia biasanya menggunakan data dari Survei Sosial Ekonomi Nasional Susenas.,"[('Pengukuran', 'NN'), ('tingkat', 'NN'), ('kemiskinan', 'NN'), ('dan', 'CC'), ('ketimpangan', 'NN'), ('di', 'IN'), ('Indonesia', 'NNP'), ('biasanya', 'ADV'), ('menggunakan', 'VB'), ('data', 'NN'), ('dari', 'IN'), ('Survei', 'NNP'), ('Sosial', 'NNP'), ('Ekonomi', 'NNP'), ('Nasional', 'NNP'), ('Susenas', 'NNP'), ('.', 'SYM')]"
23,Dalam kondisi ideal data pendapatan seharusnya mencakup beberapa komponen pendapatan rumah tangga.,"[('Dalam', 'IN'), ('kondisi', 'NN'), ('ideal', 'JJ'), ('data', 'NN'), ('pendapatan', 'NN'), ('seharusnya', 'ADV'), ('mencakup', 'VB'), ('beberapa', 'DT'), ('komponen', 'NN'), ('pendapatan', 'NN'), ('rumah', 'NN'), ('tangga', 'NN'), ('.', 'SYM')]"
24,Selain pendapatan dari gaji salary income atau wage income biasanya juga mencakup pendapatan dari pengelolaan bisnis business income pendapatan dari investasi investment income serta pendapatan dari subsidi dan pengurangan pajak tax-benefit income.,"[('Selain', 'CC'), ('pendapatan', 'NN'), ('dari', 'IN'), ('gaji', 'NN'), ('salary', 'FW'), ('income', 'FW'), ('atau', 'CC'), ('wage', 'FW'), ('income', 'FW'), ('biasanya', 'ADV'), ('juga', 'ADV'), ('mencakup', 'VB'), ('pendapatan', 'NN'), ('dari', 'IN'), ('pengelolaan', 'NN'), ('bisnis', 'NN'), ('business', 'FW'), ('income', 'FW'), ('pendapatan', 'NN'), ('dari', 'IN'), ('investasi', 'NN'), ('investment', 'NN'), ('income', 'FW'), ('serta', 'CC'), ('pendapatan', 'NN'), ('dari', 'IN'), ('subsidi', 'NN'), ('dan', 'CC'), ('pengurangan', 'NN'), ('pajak', 'NN'), ('tax-benefit', 'NN'), ('income', 'FW'), ('.', 'SYM')]"
25,Komponen gaji bisa terlihat dari Survei Angkatan Kerja Nasional Sakernas yang biasanya diadakan pada Februari dan Agustus tiap tahun.,"[('Komponen', 'NNP'), ('gaji', 'NN'), ('bisa', 'ADV'), ('terlihat', 'VB'), ('dari', 'IN'), ('Survei', 'NNP'), ('Angkatan', 'NNP'), ('Kerja', 'NNP'), ('Nasional', 'NNP'), ('Sakernas', 'NNP'), ('yang', 'PR'), ('biasanya', 'ADV'), ('diadakan', 'VB'), ('pada', 'IN'), ('Februari', 'NNP'), ('dan', 'CC'), ('Agustus', 'NNP'), ('tiap', 'NUM'), ('tahun', 'NN'), ('.', 'SYM')]"
26,Berdasarkan data statistik sebagian besar tenaga kerja di Indonesia berada di sektor informal.,"[('Berdasarkan', 'VB'), ('data', 'NN'), ('statistik', 'NN'), ('sebagian', 'NN'), ('besar', 'JJ'), ('tenaga', 'NN'), ('kerja', 'NN'), ('di', 'IN'), ('Indonesia', 'NNP'), ('berada', 'VB'), ('di', 'IN'), ('sektor', 'NN'), ('informal', 'JJ'), ('.', 'SYM')]"
27,Pada 2019 proporsi tenaga kerja formal tercatat sebesar 4412 persen.,"[('Pada', 'IN'), ('2019', 'NUM'), ('proporsi', 'NN'), ('tenaga', 'NN'), ('kerja', 'NN'), ('formal', 'NN'), ('tercatat', 'VB'), ('sebesar', 'NN'), ('4412', 'NUM'), ('persen', 'NUM'), ('.', 'SYM')]"
28,Namun pada 2023 angka tersebut justru menurun signifikan menjadi 4089 persen.,"[('Namun', 'CC'), ('pada', 'IN'), ('2023', 'NUM'), ('angka', 'NN'), ('tersebut', 'DT'), ('justru', 'ADV'), ('menurun', 'VB'), ('signifikan', 'JJ'), ('menjadi', 'VB'), ('4089', 'NUM'), ('persen', 'NUM'), ('.', 'SYM')]"
29,Penghapusan Piutang UMKM Dapat Berdayakan Perempuan,"[('Penghapusan', 'NN'), ('Piutang', 'NNP'), ('UMKM', 'NNP'), ('Dapat', 'ADV'), ('Berdayakan', 'NNP'), ('Perempuan', 'NN')]"
30,Menteri Pemberdayaan Perempuan dan Perlindungan Anak PPPA Arifah Fauzi menilai penghapusan piutang macet bagi usaha mikro kecil dan menengah UMKM dapat berdampak positif bagi pelaku usaha perempuan.,"[('Menteri', 'NNP'), ('Pemberdayaan', 'NNP'), ('Perempuan', 'NNP'), ('dan', 'CC'), ('Perlindungan', 'NNP'), ('Anak', 'NNP'), ('PPPA', 'NNP'), ('Arifah', 'NNP'), ('Fauzi', 'NNP'), ('menilai', 'VB'), ('penghapusan', 'NN'), ('piutang', 'NN'), ('macet', 'NN'), ('bagi', 'IN'), ('usaha', 'NN'), ('mikro', 'NN'), ('kecil', 'JJ'), ('dan', 'CC'), ('menengah', 'VB'), ('UMKM', 'NNP'), ('dapat', 'ADV'), ('berdampak', 'VB'), ('positif', 'JJ'), ('bagi', 'IN'), ('pelaku', 'NN'), ('usaha', 'NN'), ('perempuan', 'NN'), ('.', 'SYM')]"
31,Dia menyampaikan melalui Peraturan Pemerintah PP Nomor 47 Tahun 2024 pelaku usaha perempuan dapat meneruskan dan meningkatkan daya saing usahanya.,"[('Dia', 'PR'), ('menyampaikan', 'VB'), ('melalui', 'IN'), ('Peraturan', 'NN'), ('Pemerintah', 'NNP'), ('PP', 'NNP'), ('Nomor', 'NNP'), ('47', 'NUM'), ('Tahun', 'NNP'), ('2024', 'NUM'), ('pelaku', 'NN'), ('usaha', 'NN'), ('perempuan', 'NN'), ('dapat', 'ADV'), ('meneruskan', 'VB'), ('dan', 'CC'), ('meningkatkan', 'VB'), ('daya', 'NN'), ('saing', 'NN'), ('usaha', 'NN'), ('nya', 'PR'), ('.', 'SYM')]"
32,Bicara tentang potensi perempuan tidak terlepas dari pemberdayaan ekonomi melalui upaya pengembangan UMKM kata Arifah dilansir dari siaran pers Sabtu 9/11/2024.,"[('Bicara', 'VB'), ('tentang', 'IN'), ('potensi', 'NN'), ('perempuan', 'NN'), ('tidak', 'NEG'), ('terlepas', 'VB'), ('dari', 'IN'), ('pemberdayaan', 'NN'), ('ekonomi', 'NN'), ('melalui', 'IN'), ('upaya', 'NN'), ('pengembangan', 'NN'), ('UMKM', 'NNP'), ('kata', 'NN'), ('Arifah', 'NNP'), ('dilansir', 'VB'), ('dari', 'IN'), ('siaran', 'NN'), ('pers', 'NN'), ('Sabtu', 'NNP'), ('9/11/2024', 'NUM'), ('.', 'SYM')]"
33,Dia menyampaikan berdasarkan catatan Kementerian Koperasi dan Usaha Kecil dan Menengah tahun 2019 dari total UMKM di Indonesia yang berjumlah 655 juta 64 jutanya adalah usaha mikro.,"[('Dia', 'PR'), ('menyampaikan', 'VB'), ('berdasarkan', 'VB'), ('catatan', 'NN'), ('Kementerian', 'NNP'), ('Koperasi', 'NNP'), ('dan', 'CC'), ('Usaha', 'NNP'), ('Kecil', 'NNP'), ('dan', 'CC'), ('Menengah', 'NNP'), ('tahun', 'NN'), ('2019', 'NUM'), ('dari', 'IN'), ('total', 'NN'), ('UMKM', 'NNP'), ('di', 'IN'), ('Indonesia', 'NNP'), ('yang', 'PR'), ('berjumlah', 'VB'), ('655', 'NUM'), ('juta', 'NUM'), ('64', 'NUM'), ('juta', 'NUM'), ('nya', 'PR'), ('adalah', 'ADV'), ('usaha', 'NN'), ('mikro', 'NN'), ('.', 'SYM')]"
34,Dari angka 64 juta usaha mikro tersebut lebih dari setengahnya dimiliki dan dikelola oleh perempuan.,"[('Dari', 'IN'), ('angka', 'NN'), ('64', 'NUM'), ('juta', 'NUM'), ('usaha', 'NN'), ('mikro', 'NN'), ('tersebut', 'DT'), ('lebih', 'JJ'), ('dari', 'IN'), ('setengahnya', 'ADV'), ('dimiliki', 'VB'), ('dan', 'CC'), ('dikelola', 'VB'), ('oleh', 'IN'), ('perempuan', 'NN'), ('.', 'SYM')]"
35,Dengan demikian perempuan memiliki peran penting dalam pemulihan ekonomi nasional.,"[('Dengan', 'IN'), ('demikian', 'PR'), ('perempuan', 'NN'), ('memiliki', 'VB'), ('peran', 'NN'), ('penting', 'JJ'), ('dalam', 'SC'), ('pemulihan', 'NN'), ('ekonomi', 'NN'), ('nasional', 'JJ'), ('.', 'SYM')]"
36,Dengan diterbitkannya PP Nomor 47 Tahun 2024 menunjukkan bahwa negara hadir untuk UMKM.,"[('Dengan', 'IN'), ('diterbitkan', 'VB'), ('nya', 'DT'), ('PP', 'NNP'), ('Nomor', 'NNP'), ('47', 'NUM'), ('Tahun', 'NNP'), ('2024', 'NUM'), ('menunjukkan', 'VB'), ('bahwa', 'SC'), ('negara', 'NN'), ('hadir', 'VB'), ('untuk', 'IN'), ('UMKM', 'NNP'), ('.', 'SYM')]"
37,Dan memberikan kesempatan kepada perempuan sebagai pelaku UMKM untuk lebih produktif dan memperkuat daya saingnya di pasar papar Arifah.,"[('Dan', 'CC'), ('memberikan', 'VB'), ('kesempatan', 'NN'), ('kepada', 'IN'), ('perempuan', 'NN'), ('sebagai', 'IN'), ('pelaku', 'NN'), ('UMKM', 'NNP'), ('untuk', 'SC'), ('lebih', 'ADV'), ('produktif', 'JJ'), ('dan', 'CC'), ('memperkuat', 'VB'), ('daya', 'NN'), ('saing', 'NN'), ('nya', 'PR'), ('di', 'IN'), ('pasar', 'NN'), ('papar', 'VB'), ('Arifah', 'NNP'), ('.', 'SYM')]"
38,Arifah berujar pemerintah menyadari bahwa nelayan petani dan UMKM terutama yang dikelola perempuan adalah tulang punggung ekonomi rakyat.,"[('Arifah', 'NNP'), ('berujar', 'VB'), ('pemerintah', 'NN'), ('menyadari', 'VB'), ('bahwa', 'SC'), ('nelayan', 'NN'), ('petani', 'NN'), ('dan', 'CC'), ('UMKM', 'NNP'), ('terutama', 'JJ'), ('yang', 'PR'), ('dikelola', 'VB'), ('perempuan', 'NN'), ('adalah', 'ADV'), ('tulang', 'NN'), ('punggung', 'NN'), ('ekonomi', 'NN'), ('rakyat', 'NN'), ('.', 'SYM')]"
39,Melalui PP tersebut jelas Arifah pemerintah memperkuat komitmennya untuk menciptakan kesempatan yang lebih adil bagi kelompok rentan.,"[('Melalui', 'IN'), ('PP', 'NNP'), ('tersebut', 'DT'), ('jelas', 'JJ'), ('Arifah', 'NNP'), ('pemerintah', 'NN'), ('memperkuat', 'VB'), ('komitmen', 'NN'), ('nya', 'PR'), ('untuk', 'SC'), ('menciptakan', 'VB'), ('kesempatan', 'NN'), ('yang', 'PR'), ('lebih', 'ADV'), ('adil', 'JJ'), ('bagi', 'IN'), ('kelompok', 'NN'), ('rentan', 'JJ'), ('.', 'SYM')]"
40,Kebijakan ini juga menjadi sebuah harapan yang besar bagi perempuan-perempuan kelompok rentan yakni perempuan kepala keluarga perempuan penyintas bencana dan perempuan penyintas kekerasan yang menjadi dampingan Kemen PPPA untuk memulai sebagai wirausaha papar Arifah.,"[('Kebijakan', 'NN'), ('ini', 'DT'), ('juga', 'ADV'), ('menjadi', 'VB'), ('sebuah', 'DT'), ('harapan', 'NN'), ('yang', 'PR'), ('besar', 'JJ'), ('bagi', 'IN'), ('perempuan-perempuan', 'NN'), ('kelompok', 'NN'), ('rentan', 'JJ'), ('yakni', 'SC'), ('perempuan', 'NN'), ('kepala', 'NN'), ('keluarga', 'NN'), ('perempuan', 'NN'), ('penyintas', 'NN'), ('bencana', 'NN'), ('dan', 'CC'), ('perempuan', 'NN'), ('penyintas', 'NN'), ('kekerasan', 'NN'), ('yang', 'PR'), ('menjadi', 'VB'), ('dampingan', 'NN'), ('Kemen', 'NNP'), ('PPPA', 'NNP'), ('untuk', 'SC'), ('memulai', 'VB'), ('sebagai', 'IN'), ('wirausaha', 'NN'), ('papar', 'VB'), ('Arifah', 'NNP'), ('.', 'SYM')]"
41,Dia menambahkan pemerintah akan terus berupaya untuk menciptakan kebijakan yang pro-rakyat dan mendukung pemulihan ekonomi di semua lapisan masyarakat.,"[('Dia', 'PR'), ('menambahkan', 'VB'), ('pemerintah', 'NN'), ('akan', 'ADV'), ('terus', 'ADV'), ('berupaya', 'VB'), ('untuk', 'SC'), ('menciptakan', 'VB'), ('kebijakan', 'NN'), ('yang', 'PR'), ('pro-rakyat', 'NN'), ('dan', 'CC'), ('mendukung', 'VB'), ('pemulihan', 'NN'), ('ekonomi', 'NN'), ('di', 'IN'), ('semua', 'DT'), ('lapisan', 'NN'), ('masyarakat', 'NN'), ('.', 'SYM')]"
42,Prabowo Dorong Sinergi Ekonomi Indonesia-Brasil Nyatakan Ingin Gabung BRICS,"[('Prabowo', 'NNP'), ('Dorong', 'NNP'), ('Sinergi', 'NNP'), ('Ekonomi', 'NNP'), ('Indonesia-Brasil', 'NNP'), ('Nyatakan', 'NNP'), ('Ingin', 'ADV'), ('Gabung', 'NNP'), ('BRICS', 'NNP')]"
43,Presiden Prabowo Subianto menyoroti banyaknya kesamaan antara Indonesia dan Brasil mulai dari sumber daya alam maupun visi strategis untuk masa depan.,"[('Presiden', 'NN'), ('Prabowo', 'NNP'), ('Subianto', 'NNP'), ('menyoroti', 'VB'), ('banyak', 'JJ'), ('nya', 'DT'), ('kesamaan', 'NN'), ('antara', 'IN'), ('Indonesia', 'NNP'), ('dan', 'CC'), ('Brasil', 'NNP'), ('mulai', 'VB'), ('dari', 'IN'), ('sumber', 'NN'), ('daya', 'NN'), ('alam', 'NN'), ('maupun', 'CC'), ('visi', 'NN'), ('strategis', 'JJ'), ('untuk', 'SC'), ('masa', 'NN'), ('depan', 'ADV'), ('.', 'SYM')]"
44,Untuk itu Prabowo menginginkan Indonesia dan Brasil bersinergi dalam hal perekonomian.,"[('Untuk', 'IN'), ('itu', 'PR'), ('Prabowo', 'NNP'), ('menginginkan', 'VB'), ('Indonesia', 'NNP'), ('dan', 'CC'), ('Brasil', 'NNP'), ('bersinergi', 'VB'), ('dalam', 'IN'), ('hal', 'NN'), ('perekonomian', 'NN'), ('.', 'SYM')]"
45,Hal tersebut Prabowo sampaikan saat menghadiri Indonesia-Brazil Business Forum yang digelar di Copacabana Palace Rio de Janeiro Brasil Minggu 17/11/2024.,"[('Hal', 'NN'), ('tersebut', 'DT'), ('Prabowo', 'NNP'), ('sampaikan', 'VB'), ('saat', 'SC'), ('menghadiri', 'VB'), ('Indonesia-Brazil', 'NNP'), ('Business', 'NNP'), ('Forum', 'NNP'), ('yang', 'PR'), ('digelar', 'VB'), ('di', 'IN'), ('Copacabana', 'NNP'), ('Palace', 'NNP'), ('Rio', 'NNP'), ('de', 'NNP'), ('Janeiro', 'NNP'), ('Brasil', 'NNP'), ('Minggu', 'NNP'), ('17/11/2024', 'NUM'), ('.', 'SYM')]"
46,Forum tersebut mempertemukan para pelaku usaha dari Indonesia dan Brasil untuk membahas peluang kerja sama ekonomi strategis termasuk di sektor energi industri dan kemaritiman.,"[('Forum', 'NNP'), ('tersebut', 'DT'), ('mempertemukan', 'VB'), ('para', 'DT'), ('pelaku', 'NN'), ('usaha', 'NN'), ('dari', 'IN'), ('Indonesia', 'NNP'), ('dan', 'CC'), ('Brasil', 'NNP'), ('untuk', 'SC'), ('membahas', 'VB'), ('peluang', 'NN'), ('kerja', 'NN'), ('sama', 'JJ'), ('ekonomi', 'NN'), ('strategis', 'JJ'), ('termasuk', 'VB'), ('di', 'IN'), ('sektor', 'NN'), ('energi', 'NN'), ('industri', 'NN'), ('dan', 'CC'), ('kemaritiman', 'NN'), ('.', 'SYM')]"
47,Indonesia dan Brasil adalah negara besar dengan populasi yang besar pula.,"[('Indonesia', 'NNP'), ('dan', 'CC'), ('Brasil', 'NNP'), ('adalah', 'ADV'), ('negara', 'NN'), ('besar', 'JJ'), ('dengan', 'IN'), ('populasi', 'NN'), ('yang', 'PR'), ('besar', 'JJ'), ('pula', 'ADV'), ('.', 'SYM')]"
48,Kita memiliki sumber daya yang melimpah.,"[('Kita', 'PR'), ('memiliki', 'VB'), ('sumber', 'NN'), ('daya', 'NN'), ('yang', 'PR'), ('melimpah', 'VB'), ('.', 'SYM')]"
49,Brasil sudah maju dalam industrinya sementara Indonesia sedang berusaha menyusul melalui industrialisasi.,"[('Brasil', 'NNP'), ('sudah', 'ADV'), ('maju', 'VB'), ('dalam', 'IN'), ('industri', 'NN'), ('nya', 'PR'), ('sementara', 'CC'), ('Indonesia', 'NNP'), ('sedang', 'ADV'), ('berusaha', 'VB'), ('menyusul', 'VB'), ('melalui', 'IN'), ('industrialisasi', 'NN'), ('.', 'SYM')]"
50,Saya yakin kita bisa menciptakan sinergi yang baik dan hubungan yang saling menguntungkan ujar Prabowo dikutip dari Setpres Senin 18/11/2024.,"[('Saya', 'PR'), ('yakin', 'JJ'), ('kita', 'PR'), ('bisa', 'ADV'), ('menciptakan', 'VB'), ('sinergi', 'NN'), ('yang', 'PR'), ('baik', 'JJ'), ('dan', 'CC'), ('hubungan', 'NN'), ('yang', 'PR'), ('saling', 'ADV'), ('menguntungkan', 'VB'), ('ujar', 'VB'), ('Prabowo', 'NNP'), ('dikutip', 'VB'), ('dari', 'IN'), ('Setpres', 'NNP'), ('Senin', 'NNP'), ('18/11/2024', 'NUM'), ('.', 'SYM')]"
51,Prabowo juga menyampaikan dukungannya terhadap peran Brasil sebagai salah satu anggota kunci BRICS sebuah organisasi ekonomi yang semakin berpengaruh dalam kancah global.,"[('Prabowo', 'NNP'), ('juga', 'ADV'), ('menyampaikan', 'VB'), ('dukungan', 'NN'), ('nya', 'PR'), ('terhadap', 'IN'), ('peran', 'NN'), ('Brasil', 'NNP'), ('sebagai', 'IN'), ('salah', 'JJ'), ('satu', 'NUM'), ('anggota', 'NN'), ('kunci', 'NN'), ('BRICS', 'NNP'), ('sebuah', 'DT'), ('organisasi', 'NN'), ('ekonomi', 'NN'), ('yang', 'PR'), ('semakin', 'ADV'), ('berpengaruh', 'VB'), ('dalam', 'IN'), ('kancah', 'NN'), ('global', 'JJ'), ('.', 'SYM')]"
