,tokens,ner_tags
1786,"['PT', 'Bank', 'Rakyat', 'Indonesia', 'Persero', 'Tbk', 'atau', 'BRI', 'terus', 'mengakselerasi', 'inklusi', 'keuangan', 'dengan', 'mengurangi', 'jumlah', 'kantor', 'cabang', 'dan', 'mengganti', 'nya', 'dengan', 'jaringan', 'Agen', 'BRILink', 'yang', 'tersebar', 'di', 'berbagai', 'warung', 'dan', 'toko', 'kelontong']","[0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1517,"['Adapun', 'pertumbuhan', 'ekonomi', 'RI', 'selama', 'Kuartal', 'I', 'sampai', 'Kuartal', 'III', '2024', 'secara', 'berurutan', 'yaitu', '5,11', '%', '5,05', '%', 'dan', '4,95', '%']","[0, 12, 16, 11, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]"
480,"['Faktor', 'perselisihan', 'dan', 'pertengkaran', 'dalam', 'rumah', 'tangga', 'paling', 'banyak', 'ditangani', 'oleh', 'Pengadilan', 'Agama', 'lanjut', 'dia']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2179,"['Jabatan', 'sebagai', 'Menko', 'Kemaritiman', 'dan', 'Investasi', 'berlanjut', 'hingga', '2024', 'setelah', 'Presiden', 'Joko', 'Widodo', 'kembali', 'menunjuk', 'nya', 'untuk', 'posisi', 'yang', 'sama', 'di', 'periode', 'kedua', 'pemerintahan', 'nya']","[0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
2275,"['Sementara', 'itu', 'Wakil', 'Bendahara', 'Umum', 'BPP', 'Hipmi', 'Margaret', 'Srijaya', 'menegaskan', 'bahwa', 'program', 'tersebut', 'bukan', 'sekadar', 'wacana', 'atau', 'nota', 'kesepahaman', 'semata']","[0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
1907,"['Berikut', 'ini', 'kondisi', 'ekonomi', 'Kesultanan', 'Palembang']","[0, 0, 0, 0, 3, 0]"
979,"['Ia', 'juga', 'berharap', 'minat', 'investor', 'Hongkong', 'di', 'sektor-sektor', 'berorientasi', 'ekspor', 'seperti', 'kesehatan', 'makanan', 'dan', 'perikanan', 'semakin', 'meningkat']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2014,"['Ekonomi', 'Digital', 'Indonesia', '2024', 'Masih', 'yang', 'Terbesar', 'di', 'Asia', 'Tenggara', 'Capai', 'Rp', '1.413', 'Triilun']","[0, 0, 19, 5, 0, 0, 0, 0, 3, 15, 0, 0, 0, 0]"
2554,"['Fahira', 'menilai', 'hal', 'itu', 'akan', 'berdampak', 'pada', 'ketahanan', 'pangan', 'mengurangi', 'ketergantungan', 'pada', 'impor', 'serta', 'menjaga', 'kestabilan', 'harga', 'produk', 'pangan', 'di', 'dalam', 'negeri']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 8]"
1494,"['Diketahui', 'Presiden', 'Biden', 'menyatakan', 'dukungan', 'AS', 'untuk', 'Indonesia', 'mempercepat', 'proses', 'bergabung', 'dengan', 'OECD']","[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
1124,"['Ini', 'perlu', 'diseriusi', 'tegas', 'nya']","[0, 0, 0, 0, 0]"
2079,"['Menteri', 'Investasi', 'dan', 'Hilirisasi', 'Rosan', 'Roeslani', 'mengungkapkan', 'meningkat', 'nya', 'antusiasme', 'investor', 'internasional', 'terhadap', 'Indonesia']","[11, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
2665,"['Dugaan', 'saya', 'implikasi', 'nya', 'luas', 'ini', 'ya', 'termasuk', 'terhadap', 'pencapaian', 'target', '5,2', '%', 'tahun', 'depan', 'itu', 'juga', 'menjadi', 'sulit', 'kalau', 'di', 'awal-awal', 'tahun', 'sudah', 'dihantam', 'dengan', 'kenaikan', 'PPN', 'ujar', 'nya', 'saat', 'dihubungi', 'Minggu', '17/11/2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
1937,"['Ketidakpastian', 'hukum', 'dan', 'tantangan', 'tata', 'kelola', 'telah', 'menjadi', 'hambatan', 'bagi', 'pertumbuhan', 'Badan', 'Usaha', 'Milik', 'Negara', 'BUMN', 'serta', 'kemampuan', 'nya', 'untuk', 'bersaing', 'di', 'pasar', 'global']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1902,"['Kehidupan', 'Ekonomi', 'Kesultanan', 'Palembang']","[0, 0, 3, 2]"
247,"['Kami', 'akan', 'menghadirkan', 'ekonomi', 'baru', 'seperti', 'kawasan', 'ekonomi', 'khusus', 'di', 'Jakarta', 'Utara', 'sehingga', 'tercipta', 'satu', 'juta', 'lapangan', 'pekerjaan']","[0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 15, 0, 0, 14, 10, 0, 0]"
642,"['Ia', 'menuturkan', 'program', 'yang', 'dicanangkan', 'Presiden', 'Prabowo', 'Subianto', 'ini', 'pun', 'bakal', 'menyasar', 'ibu', 'hamil', 'balita', 'serta', 'siswa', 'dari', 'tingkat', 'SD', 'hingga', 'SMA', 'termasuk', 'santri', 'di', 'pesantren']","[0, 0, 0, 0, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0]"
1866,"['Realisasi', 'investasi', '8', 'KEK', 'tersebut', 'telah', 'mencapai', 'lebih', 'dari', '75', '%']","[0, 13, 14, 0, 0, 0, 0, 0, 0, 21, 22]"
347,"['Umum', 'nya', 'negara', 'yang', 'berada', 'lebih', 'dari', '30', 'tahun', 'pada', 'posisi', 'sama', 'akan', 'terjebak', 'selamanya', 'di', 'kategori', 'tersebut']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2527,"['Sebab', 'Kopra', 'by', 'Mandiri', 'berfokus', 'pada', 'tiga', 'fungsi', 'utama', 'dengan', 'standar', 'global', 'yakni', 'Cash', 'Management', 'Value', 'Chain', 'dan', 'Trade', 'yang', 'bisa', 'diakses', 'secara', 'single', 'access', 'bagi', 'pelaku', 'bisnis']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
1563,"['Ia', 'menyebutkan', 'industri', 'ini', 'menyumbang', 'sekitar', '30', '%', 'dari', 'total', 'transaksi', 'DOKU']","[0, 0, 0, 0, 0, 0, 21, 22, 0, 0, 0, 19]"
2127,"['Penghambat', 'utama', 'pertumbuhan', 'ekonomi', 'kita', 'adalah', 'karena', 'faktor', 'ketidakstabilan', 'di', 'bidang', 'politik', 'dan', 'keamanan', 'terutama', 'ketidakpastian', 'hukum', 'di', 'dalam', 'menghadapi', 'praktik-praktik', 'koruptif', 'penyelundupan', 'maupun', 'juga', 'tindak', 'pidana', 'lain', 'nya', 'yang', 'menyasar', 'kepada', 'seluruh', 'lapisan', 'masyarakat', 'termasuk', 'kasus', 'tindak', 'pidana', 'judi', 'online', 'ujar', 'nya']","[0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1075,"['Ketika', 'konsumen', 'mulai', 'mengurangi', 'pembelian', 'siklus', 'konsumsi', 'melambat', 'dan', 'efek', 'nya', 'merambat', 'ke', 'sektor', 'lain']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2691,"['Menteri', 'Keuangan', 'Menkeu', 'Sri', 'Mulyani', 'menyatakan', 'menjadi', 'Menteri', 'Keuangan', 'bukan', 'lah', 'hal', 'yang', 'mudah']","[11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
786,"['Pertama', 'memberikan', 'pembiayaan', 'untuk', 'berbagai', 'proyek', 'berbasis', 'iklim']","[0, 0, 0, 0, 0, 0, 0, 0]"
1498,"['Saya', 'kira', 'enggak', 'ada', 'masalah']","[0, 0, 0, 0, 0]"
445,"['Ekonom', 'Center', 'of', 'Economics', 'and', 'Law', 'Studies', 'Celios', 'Nailul', 'Huda', 'melihat', 'kebijakan', 'moratorium', 'sawit', 'akan', 'membawa', 'dampak', 'ekonomi', 'positif', 'yang', 'signifikan', 'terutama', 'bila', 'digabungkan', 'dengan', 'program', 'replanting', 'alias', 'peremajaan', 'tanaman']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9]"
1080,"['Mandel', 'NGAN', 'AFP', 'US', 'President', 'Donald', 'Trump', 'and', 'First', 'Lady', 'Melania', 'Trump', 'arrive', 'for', 'the', 'official', 'launch', 'of', 'the', 'Trump', '2020', 'campaign', 'at', 'the', 'Amway', 'Center', 'in', 'Orlando', 'Florida', 'on', 'June', '18', '2019']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
1803,"['Volume', 'transaksi', 'melalui', 'Agen', 'BRILink', 'juga', 'mencatatkan', 'angka', 'yang', 'signifikan']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 19]"
862,"['Meskipun', 'sebagian', 'dari', 'penurunan', 'pajak', 'tersebut', 'akan', 'diimbangi', 'dengan', 'peningkatan', 'tarif', 'menurut', 'Committee', 'for', 'a', 'Responsible', 'Federal', 'Budget', 'CRFB', 'kebijakan', 'itu', 'diperkirakan', 'akan', 'meningkatkan', 'defisit', 'fiskal', 'dari', '6', '%', 'produk', 'domestik', 'bruto', 'PDB', 'menjadi', '8', '%', 'PDB']","[0, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12]"
2736,"['Ia', 'mencontohkan', 'dampak', 'banjir', 'yang', 'terjadi', 'dapat', 'menyebabkan', 'kemacetan']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1544,"['Faktor', 'ketiga', 'adalah', 'Bank', 'Indonesia', 'sedang', 'melakukan', 'penyeimbangan']","[0, 0, 0, 0, 0, 0, 0, 0]"
2384,"['Kalau', 'dalam', '100', 'hari', 'pertama', 'pemerintahan', 'Pak', 'Prabowo', 'ini', 'tidak', 'bisa', 'membangkitkan', 'daya', 'beli', 'kita', 'harus', 'melupakan', 'pertumbuhan', 'ekonomi', '8', '%']","[0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 21, 22]"
2173,"['Luhut', 'Binsar', 'Pandjaitan', 'Ketua']","[0, 0, 0, 8]"
1554,"['Walaupun', 'ada', 'rencana', 'kenaikan', 'pajak', 'ini', 'perusahaan', 'platform', 'pembayaran', 'PT', 'Nusa', 'Satu', 'Inti', 'Artha', 'DOKU', 'masih', 'optimistis', 'menatap', '2025']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
263,"['Untuk', 'pertama', 'kali', 'nya', 'ekonomi', 'kreatif', 'menjadi', 'sebuah', 'kementerian', 'dalam', 'sejarah', 'Indonesia']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
1103,"['Saya', 'berharap', 'kerja', 'sama', 'ini', 'terus', 'berlanjut', 'dan', 'bahkan', 'berkembang', 'melalui', 'pertemuan', 'rutin', 'antara', 'agen', 'dan', 'pihak', 'BRI', 'untuk', 'mempererat', 'silaturahmi', 'tutur', 'Riswan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
1593,"['Pertumbuhan', 'ekonomi', 'Kuartal', 'III', 'kan', 'angka', 'nya', 'sudah', 'diumumkan', 'ya', 'sedikit', 'di', 'bawah', '5', '%']","[12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22]"
353,"['Di', 'dalam', 'dokumen', 'itu', 'Indonesia', 'berkomitmen', 'mengurangi', 'emisi', 'sebesar', '31,89', '%', 'dengan', 'upaya', 'sendiri', 'dan', 'ditingkatkan', 'hingga', '43,2', '%', 'apabila', 'mendapatkan', 'dukungan', 'internasional', 'pada', '2030']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
208,"['Pada', 'saat', 'mereka', 'memutuskan', 'untuk', 'masuk', 'ke', 'Indonesia', 'mereka', 'sudah', 'membandingkan', 'dengan', 'beberapa', 'negara', 'lain']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
2741,"['Isnawa', 'menuturkan', 'banjir', 'di', 'Jakarta', 'disebabkan', 'karena', 'penurunan', 'permukaan', 'air', 'tanah']","[0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 3]"
2486,"['baik', 'sendi', 'ekonomi', 'sosial', 'psikologi', 'maupun', 'keluarga', 'nya', 'kata', 'Cak', 'Imin']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8]"
2567,"['Untuk', 'itu', 'kolaborasi', 'multi-stakeholder', 'menjadi', 'kunci', 'untuk', 'mencapai', 'tujuan', 'tersebut']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1535,"['Hal', 'ini', 'terutama', 'dinilai', 'semakin', 'tidak', 'menentu', 'setelah', 'Donald', 'Trump', 'terpilih', 'menjadi', 'presiden', 'AS']","[0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 0, 0, 11, 2]"
1681,"['Di', 'COP29', 'PLN', 'Paparkan', 'Strategi', 'Dorong', 'Pertumbuhan', 'Ekonomi', 'dan', 'Manfaatkan', 'EBT']","[0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0]"
57,"['Saya', 'juga', 'ingin', 'belajar', 'dari', 'program', 'Brasil', 'yang', 'telah', 'sukses', 'dan', 'saya', 'telah', 'meminta', 'tim', 'saya', 'untuk', 'mengatur', 'kerja', 'sama', 'lebih', 'lanjut', 'dengan', 'Duta', 'Besar', 'Brasil', 'di', 'Indonesia', 'kata', 'Prabowo']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 2, 0, 3, 0, 6]"
2611,"['Vicky', 'menekankan', 'bahwa', 'program', 'BTPN', 'Syariah', 'fokus', 'pada', 'perempuan', 'pra-sejahtera', 'agar', 'dapat', 'mendukung', 'kesejahteraan', 'keluarga']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
2051,"['Aspek', 'ESG', 'menjadi', 'salah', 'satu', 'aspek', 'dalam', 'Know', 'Your', 'Customer', 'KYC', 'yang', 'mengonfirmasi', 'apakah', 'calon', 'debitur', 'memiliki', 'isu', 'terkait', 'lingkungan', 'sosial', 'hukum', 'atau', 'litigasi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
561,"['Data', 'dukcapil', 'ini', 'lah', 'kata', 'Bima', 'menjadi', 'dasar', 'agar', 'mimpi-mimpi', 'besar', 'Presiden', 'Prabowo', 'Subianto', 'bisa', 'menjadi', 'kenyataan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
229,"['Ini', 'perlu', 'diseriusi', 'tegas', 'nya']","[0, 0, 0, 0, 0]"
1509,"['Setelah', 'dilakukan', 'perluasan', 'keanggotaan', 'nama', 'organisasi', 'berubah', 'menjadi', 'BRICS', 'Plus']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
