,sentence,pos_tag,iob_ner
10,Kekayaan 50 orang terkaya di negara ini setara dengan kekayaan 50 juta warga Indonesia.,"[('Kekayaan', np.str_('NN')), ('50', np.str_('NUM')), ('orang', np.str_('NN')), ('terkaya', np.str_('VB')), ('di', np.str_('IN')), ('negara', np.str_('NN')), ('ini', np.str_('DT')), ('setara', np.str_('NN')), ('dengan', np.str_('IN')), ('kekayaan', np.str_('NN')), ('50', np.str_('NUM')), ('juta', np.str_('NUM')), ('warga', np.str_('NN')), ('Indonesia', np.str_('NNP')), ('.', 'SYM')]","[('Kekayaan', 'O'), ('50', 'B-CRD'), ('orang', 'O'), ('terkaya', 'O'), ('di', 'O'), ('negara', 'O'), ('ini', 'O'), ('setara', 'O'), ('dengan', 'O'), ('kekayaan', 'O'), ('50', 'O'), ('juta', 'I-CRD'), ('warga', 'O'), ('Indonesia', 'B-GPE')]"
11,Data dari Bank Dunia menunjukkan hal menarik.,"[('Data', np.str_('NN')), ('dari', np.str_('IN')), ('Bank', np.str_('NNP')), ('Dunia', np.str_('NNP')), ('menunjukkan', np.str_('VB')), ('hal', np.str_('NN')), ('menarik', np.str_('VB')), ('.', 'SYM')]","[('Data', 'O'), ('dari', 'O'), ('Bank', 'O'), ('Dunia', 'O'), ('menunjukkan', 'O'), ('hal', 'O'), ('menarik', 'O')]"
12,"Sepuluh persen orang terkaya memiliki kontribusi 29,9 % dari total kekayaan.","[('Sepuluh', np.str_('NUM')), ('persen', np.str_('NUM')), ('orang', np.str_('NN')), ('terkaya', np.str_('VB')), ('memiliki', np.str_('VB')), ('kontribusi', np.str_('NN')), ('29,9', np.str_('NUM')), ('%', np.str_('NUM')), ('dari', np.str_('IN')), ('total', np.str_('NN')), ('kekayaan', np.str_('NN')), ('.', 'SYM')]","[('Sepuluh', 'B-PRC'), ('persen', 'I-PRC'), ('orang', 'O'), ('terkaya', 'O'), ('memiliki', 'O'), ('kontribusi', 'O'), ('29,9', 'O'), ('%', 'O'), ('dari', 'O'), ('total', 'O'), ('kekayaan', 'O')]"
13,"Ini meningkat dari tahun 2000, yaitu sebesar 25,6 %.","[('Ini', np.str_('PR')), ('meningkat', np.str_('VB')), ('dari', np.str_('IN')), ('tahun', np.str_('NN')), ('2000', np.str_('NUM')), (',', 'SYM'), ('yaitu', np.str_('SC')), ('sebesar', np.str_('NN')), ('25,6', np.str_('NUM')), ('%', np.str_('NUM')), ('.', 'SYM')]","[('Ini', 'O'), ('meningkat', 'O'), ('dari', 'O'), ('tahun', 'O'), ('2000', 'B-DAT'), ('yaitu', 'O'), ('sebesar', 'O'), ('25,6', 'O'), ('%', 'O')]"
14,"Meski sempat mencapai titik tertinggi pada 2013 dan 2014, yaitu 31,5 %, kemudian mencapai 27,9 % pada 2020, namun kembali naik pada 2021 hingga 2023.","[('Meski', np.str_('SC')), ('sempat', np.str_('ADV')), ('mencapai', np.str_('VB')), ('titik', np.str_('NN')), ('tertinggi', np.str_('JJ')), ('pada', np.str_('IN')), ('2013', np.str_('NUM')), ('dan', np.str_('CC')), ('2014', np.str_('NUM')), (',', 'SYM'), ('yaitu', np.str_('SC')), ('31,5', np.str_('NUM')), ('%', np.str_('NUM')), (',', 'SYM'), ('kemudian', np.str_('ADV')), ('mencapai', np.str_('VB')), ('27,9', np.str_('NUM')), ('%', np.str_('NUM')), ('pada', np.str_('IN')), ('2020', np.str_('NUM')), (',', 'SYM'), ('namun', np.str_('CC')), ('kembali', np.str_('VB')), ('naik', np.str_('VB')), ('pada', np.str_('IN')), ('2021', np.str_('NUM')), ('hingga', np.str_('IN')), ('2023', np.str_('NUM')), ('.', 'SYM')]","[('Meski', 'O'), ('sempat', 'O'), ('mencapai', 'O'), ('titik', 'O'), ('tertinggi', 'O'), ('pada', 'O'), ('2013', 'B-DAT'), ('dan', 'O'), ('2014', 'B-DAT'), ('yaitu', 'O'), ('31,5', 'O'), ('%', 'O'), ('kemudian', 'O'), ('mencapai', 'O'), ('27,9', 'O'), ('%', 'O'), ('pada', 'O'), ('2020', 'O'), ('namun', 'O'), ('kembali', 'O'), ('naik', 'O'), ('pada', 'O'), ('2021', 'O'), ('hingga', 'O'), ('2023', 'O')]"
15,Dapat disimpulkan bahwa angka dominasi 10 % orang terkaya cenderung tidak turun.,"[('Dapat', np.str_('ADV')), ('disimpulkan', np.str_('VB')), ('bahwa', np.str_('SC')), ('angka', np.str_('NN')), ('dominasi', np.str_('NN')), ('10', np.str_('NUM')), ('%', np.str_('NUM')), ('orang', np.str_('NN')), ('terkaya', np.str_('VB')), ('cenderung', np.str_('JJ')), ('tidak', np.str_('NEG')), ('turun', np.str_('VB')), ('.', 'SYM')]","[('Dapat', 'O'), ('disimpulkan', 'O'), ('bahwa', 'O'), ('angka', 'O'), ('dominasi', 'O'), ('10', 'B-PRC'), ('%', 'I-PRC'), ('orang', 'O'), ('terkaya', 'O'), ('cenderung', 'O'), ('tidak', 'O'), ('turun', 'O')]"
16,"Fakta lain menunjukkan bahwa 20 % kelompok termiskin hanya memiliki kontribusi sebesar 7,9 % pada 2023.","[('Fakta', np.str_('NN')), ('lain', np.str_('JJ')), ('menunjukkan', np.str_('VB')), ('bahwa', np.str_('SC')), ('20', np.str_('NUM')), ('%', np.str_('NUM')), ('kelompok', np.str_('NN')), ('termiskin', np.str_('VB')), ('hanya', np.str_('ADV')), ('memiliki', np.str_('VB')), ('kontribusi', np.str_('NN')), ('sebesar', np.str_('NN')), ('7,9', np.str_('NUM')), ('%', np.str_('NUM')), ('pada', np.str_('IN')), ('2023', np.str_('NUM')), ('.', 'SYM')]","[('Fakta', 'O'), ('lain', 'O'), ('menunjukkan', 'O'), ('bahwa', 'O'), ('20', 'B-PRC'), ('%', 'I-PRC'), ('kelompok', 'O'), ('termiskin', 'O'), ('hanya', 'O'), ('memiliki', 'O'), ('kontribusi', 'O'), ('sebesar', 'O'), ('7,9', 'O'), ('%', 'O'), ('pada', 'O'), ('2023', 'O')]"
17,"Persentase ini turun dari 9,2 pada 2000.","[('Persentase', np.str_('NN')), ('ini', np.str_('DT')), ('turun', np.str_('VB')), ('dari', np.str_('IN')), ('9,2', np.str_('NUM')), ('pada', np.str_('IN')), ('2000', np.str_('NUM')), ('.', 'SYM')]","[('Persentase', 'O'), ('ini', 'O'), ('turun', 'O'), ('dari', 'O'), ('9,2', 'O'), ('pada', 'O'), ('2000', 'O')]"
18,"Secara umum, belum terjadi perubahan signifikan dalam distribusi antara kelompok kaya dan kelompok miskin.","[('Secara', np.str_('IN')), ('umum', np.str_('JJ')), (',', 'SYM'), ('belum', np.str_('NEG')), ('terjadi', np.str_('VB')), ('perubahan', np.str_('NN')), ('signifikan', np.str_('JJ')), ('dalam', np.str_('IN')), ('distribusi', np.str_('NN')), ('antara', np.str_('IN')), ('kelompok', np.str_('NN')), ('kaya', np.str_('JJ')), ('dan', np.str_('CC')), ('kelompok', np.str_('NN')), ('miskin', np.str_('ADV')), ('.', 'SYM')]","[('Secara', 'O'), ('umum', 'O'), ('belum', 'O'), ('terjadi', 'O'), ('perubahan', 'O'), ('signifikan', 'O'), ('dalam', 'O'), ('distribusi', 'O'), ('antara', 'O'), ('kelompok', 'O'), ('kaya', 'O'), ('dan', 'O'), ('kelompok', 'O'), ('miskin', 'O')]"
19,"Namun, perlu digarisbawahi bahwa data tersebut didasarkan pada indikator konsumsi.","[('Namun', np.str_('CC')), (',', 'SYM'), ('perlu', np.str_('ADV')), ('digarisbawahi', np.str_('VB')), ('bahwa', np.str_('SC')), ('data', np.str_('NN')), ('tersebut', np.str_('DT')), ('didasarkan', np.str_('VB')), ('pada', np.str_('IN')), ('indikator', np.str_('NN')), ('konsumsi', np.str_('NN')), ('.', 'SYM')]","[('Namun', 'O'), ('perlu', 'O'), ('digarisbawahi', 'O'), ('bahwa', 'O'), ('data', 'O'), ('tersebut', 'O'), ('didasarkan', 'O'), ('pada', 'O'), ('indikator', 'O'), ('konsumsi', 'O')]"
20,Ketimpangan yang diukur menggunakan indikator konsumsi biasanya lebih rendah dibandingkan dengan ketimpangan yang diukur berdasarkan data pendapatan.,"[('Ketimpangan', np.str_('NN')), ('yang', np.str_('PR')), ('diukur', np.str_('VB')), ('menggunakan', np.str_('VB')), ('indikator', np.str_('NN')), ('konsumsi', np.str_('NN')), ('biasanya', np.str_('ADV')), ('lebih', np.str_('ADV')), ('rendah', np.str_('JJ')), ('dibandingkan', np.str_('VB')), ('dengan', np.str_('IN')), ('ketimpangan', np.str_('NN')), ('yang', np.str_('PR')), ('diukur', np.str_('VB')), ('berdasarkan', np.str_('VB')), ('data', np.str_('NN')), ('pendapatan', np.str_('NN')), ('.', 'SYM')]","[('Ketimpangan', 'B-ECONOMIC_INDICATOR'), ('yang', 'O'), ('diukur', 'O'), ('menggunakan', 'O'), ('indikator', 'O'), ('konsumsi', 'O'), ('biasanya', 'O'), ('lebih', 'O'), ('rendah', 'O'), ('dibandingkan', 'O'), ('dengan', 'O'), ('ketimpangan', 'B-ECONOMIC_INDICATOR'), ('yang', 'O'), ('diukur', 'O'), ('berdasarkan', 'O'), ('data', 'O'), ('pendapatan', 'O')]"
21,"Sayangnya, tidak tersedia data pendapatan yang lengkap di Indonesia, dan data pendapatan sering kali kurang dapat diandalkan di negara berkembang.","[('Sayangnya', np.str_('NN')), (',', 'SYM'), ('tidak', np.str_('NEG')), ('tersedia', np.str_('VB')), ('data', np.str_('NN')), ('pendapatan', np.str_('NN')), ('yang', np.str_('PR')), ('lengkap', np.str_('JJ')), ('di', np.str_('IN')), ('Indonesia', np.str_('NNP')), (',', 'SYM'), ('dan', np.str_('CC')), ('data', np.str_('NN')), ('pendapatan', np.str_('NN')), ('sering', np.str_('ADV')), ('kali', np.str_('NN')), ('kurang', np.str_('ADV')), ('dapat', np.str_('ADV')), ('diandalkan', np.str_('VB')), ('di', np.str_('IN')), ('negara', np.str_('NN')), ('berkembang', np.str_('VB')), ('.', 'SYM')]","[('Sayangnya', 'O'), ('tidak', 'O'), ('tersedia', 'O'), ('data', 'O'), ('pendapatan', 'O'), ('yang', 'O'), ('lengkap', 'O'), ('di', 'O'), ('Indonesia', 'B-GPE'), ('dan', 'O'), ('data', 'O'), ('pendapatan', 'O'), ('sering', 'O'), ('kali', 'O'), ('kurang', 'O'), ('dapat', 'O'), ('diandalkan', 'O'), ('di', 'O'), ('negara', 'O'), ('berkembang', 'O')]"
22,Pengukuran tingkat kemiskinan dan ketimpangan di Indonesia biasanya menggunakan data dari Survei Sosial Ekonomi Nasional (Susenas).,"[('Pengukuran', np.str_('NN')), ('tingkat', np.str_('NN')), ('kemiskinan', np.str_('NN')), ('dan', np.str_('CC')), ('ketimpangan', np.str_('NN')), ('di', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('biasanya', np.str_('ADV')), ('menggunakan', np.str_('VB')), ('data', np.str_('NN')), ('dari', np.str_('IN')), ('Survei', np.str_('NNP')), ('Sosial', np.str_('NNP')), ('Ekonomi', np.str_('NNP')), ('Nasional', np.str_('NNP')), ('(', 'SYM'), ('Susenas', np.str_('NNP')), (')', 'SYM'), ('.', 'SYM')]","[('Pengukuran', 'O'), ('tingkat', 'B-ECONOMIC_INDICATOR'), ('kemiskinan', 'I-ECONOMIC_INDICATOR'), ('dan', 'O'), ('ketimpangan', 'B-ECONOMIC_INDICATOR'), ('di', 'O'), ('Indonesia', 'B-GPE'), ('biasanya', 'O'), ('menggunakan', 'O'), ('data', 'O'), ('dari', 'O'), ('Survei', 'O'), ('Sosial', 'O'), ('Ekonomi', 'O'), ('Nasional', 'O'), ('Susenas', 'O')]"
23,"Dalam kondisi ideal, data pendapatan seharusnya mencakup beberapa komponen pendapatan rumah tangga.","[('Dalam', np.str_('IN')), ('kondisi', np.str_('NN')), ('ideal', np.str_('JJ')), (',', 'SYM'), ('data', np.str_('NN')), ('pendapatan', np.str_('NN')), ('seharusnya', np.str_('ADV')), ('mencakup', np.str_('VB')), ('beberapa', np.str_('DT')), ('komponen', np.str_('NN')), ('pendapatan', np.str_('NN')), ('rumah', np.str_('NN')), ('tangga', np.str_('NN')), ('.', 'SYM')]","[('Dalam', 'O'), ('kondisi', 'O'), ('ideal', 'O'), ('data', 'O'), ('pendapatan', 'O'), ('seharusnya', 'O'), ('mencakup', 'O'), ('beberapa', 'O'), ('komponen', 'O'), ('pendapatan', 'O'), ('rumah', 'O'), ('tangga', 'O')]"
24,"Selain pendapatan dari gaji (salary income atau wage income), biasanya juga mencakup pendapatan dari pengelolaan bisnis (business income), pendapatan dari investasi (investment income), serta pendapatan dari subsidi dan pengurangan pajak (tax-benefit income).","[('Selain', np.str_('CC')), ('pendapatan', np.str_('NN')), ('dari', np.str_('IN')), ('gaji', np.str_('NN')), ('(', 'SYM'), ('salary', np.str_('FW')), ('income', np.str_('FW')), ('atau', np.str_('CC')), ('wage', np.str_('FW')), ('income', np.str_('FW')), (')', 'SYM'), (',', 'SYM'), ('biasanya', np.str_('ADV')), ('juga', np.str_('ADV')), ('mencakup', np.str_('VB')), ('pendapatan', np.str_('NN')), ('dari', np.str_('IN')), ('pengelolaan', np.str_('NN')), ('bisnis', np.str_('NN')), ('(', 'SYM'), ('business', np.str_('FW')), ('income', np.str_('FW')), (')', 'SYM'), (',', 'SYM'), ('pendapatan', np.str_('NN')), ('dari', np.str_('IN')), ('investasi', np.str_('NN')), ('(', 'SYM'), ('investment', np.str_('NN')), ('income', np.str_('FW')), (')', 'SYM'), (',', 'SYM'), ('serta', np.str_('CC')), ('pendapatan', np.str_('NN')), ('dari', np.str_('IN')), ('subsidi', np.str_('NN')), ('dan', np.str_('CC')), ('pengurangan', np.str_('NN')), ('pajak', np.str_('NN')), ('(', 'SYM'), ('tax-benefit', np.str_('NN')), ('income', np.str_('FW')), (')', 'SYM'), ('.', 'SYM')]","[('Selain', 'O'), ('pendapatan', 'O'), ('dari', 'O'), ('gaji', 'O'), ('salary', 'O'), ('income', 'O'), ('atau', 'O'), ('wage', 'O'), ('income', 'O'), ('biasanya', 'O'), ('juga', 'O'), ('mencakup', 'O'), ('pendapatan', 'O'), ('dari', 'O'), ('pengelolaan', 'O'), ('bisnis', 'O'), ('business', 'O'), ('income', 'O'), ('pendapatan', 'O'), ('dari', 'O'), ('investasi', 'B-ASSET_CLASS'), ('investment', 'I-ASSET_CLASS'), ('income', 'O'), ('serta', 'O'), ('pendapatan', 'O'), ('dari', 'O'), ('subsidi', 'O'), ('dan', 'O'), ('pengurangan', 'O'), ('pajak', 'O'), ('tax-benefit', 'O'), ('income', 'O')]"
25,Komponen gaji bisa terlihat dari Survei Angkatan Kerja Nasional (Sakernas) yang biasanya diadakan pada Februari dan Agustus tiap tahun.,"[('Komponen', np.str_('NNP')), ('gaji', np.str_('NN')), ('bisa', np.str_('ADV')), ('terlihat', np.str_('VB')), ('dari', np.str_('IN')), ('Survei', np.str_('NNP')), ('Angkatan', np.str_('NNP')), ('Kerja', np.str_('NNP')), ('Nasional', np.str_('NNP')), ('(', 'SYM'), ('Sakernas', np.str_('NNP')), (')', 'SYM'), ('yang', np.str_('PR')), ('biasanya', np.str_('ADV')), ('diadakan', np.str_('VB')), ('pada', np.str_('IN')), ('Februari', np.str_('NNP')), ('dan', np.str_('CC')), ('Agustus', np.str_('NNP')), ('tiap', np.str_('NUM')), ('tahun', np.str_('NN')), ('.', 'SYM')]","[('Komponen', 'O'), ('gaji', 'O'), ('bisa', 'O'), ('terlihat', 'O'), ('dari', 'O'), ('Survei', 'B-EVT'), ('Angkatan', 'I-EVT'), ('Kerja', 'I-EVT'), ('Nasional', 'I-EVT'), ('Sakernas', 'O'), ('yang', 'O'), ('biasanya', 'O'), ('diadakan', 'O'), ('pada', 'O'), ('Februari', 'O'), ('dan', 'O'), ('Agustus', 'O'), ('tiap', 'O'), ('tahun', 'O')]"
26,"Berdasarkan data statistik, sebagian besar tenaga kerja di Indonesia berada di sektor informal.","[('Berdasarkan', np.str_('VB')), ('data', np.str_('NN')), ('statistik', np.str_('NN')), (',', 'SYM'), ('sebagian', np.str_('NN')), ('besar', np.str_('JJ')), ('tenaga', np.str_('NN')), ('kerja', np.str_('NN')), ('di', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('berada', np.str_('VB')), ('di', np.str_('IN')), ('sektor', np.str_('NN')), ('informal', np.str_('JJ')), ('.', 'SYM')]","[('Berdasarkan', 'O'), ('data', 'O'), ('statistik', 'O'), ('sebagian', 'O'), ('besar', 'O'), ('tenaga', 'O'), ('kerja', 'O'), ('di', 'O'), ('Indonesia', 'B-GPE'), ('berada', 'O'), ('di', 'O'), ('sektor', 'O'), ('informal', 'O')]"
27,"Pada 2019, proporsi tenaga kerja formal tercatat sebesar 44,12 %.","[('Pada', np.str_('IN')), ('2019', np.str_('NUM')), (',', 'SYM'), ('proporsi', np.str_('NN')), ('tenaga', np.str_('NN')), ('kerja', np.str_('NN')), ('formal', np.str_('NN')), ('tercatat', np.str_('VB')), ('sebesar', np.str_('NN')), ('44,12', np.str_('NUM')), ('%', np.str_('NUM')), ('.', 'SYM')]","[('Pada', 'O'), ('2019', 'B-DAT'), ('proporsi', 'O'), ('tenaga', 'O'), ('kerja', 'O'), ('formal', 'O'), ('tercatat', 'O'), ('sebesar', 'O'), ('44,12', 'O'), ('%', 'O')]"
28,"Namun, pada 2023, angka tersebut justru menurun signifikan menjadi 40,89 %.","[('Namun', np.str_('CC')), (',', 'SYM'), ('pada', np.str_('IN')), ('2023', np.str_('NUM')), (',', 'SYM'), ('angka', np.str_('NN')), ('tersebut', np.str_('DT')), ('justru', np.str_('ADV')), ('menurun', np.str_('VB')), ('signifikan', np.str_('JJ')), ('menjadi', np.str_('VB')), ('40,89', np.str_('NUM')), ('%', np.str_('NUM')), ('.', 'SYM')]","[('Namun', 'O'), ('pada', 'O'), ('2023', 'B-DAT'), ('angka', 'O'), ('tersebut', 'O'), ('justru', 'O'), ('menurun', 'O'), ('signifikan', 'O'), ('menjadi', 'O'), ('40,89', 'O'), ('%', 'O')]"
29,Penghapusan Piutang UMKM Dapat Berdayakan Perempuan,"[('Penghapusan', np.str_('NN')), ('Piutang', np.str_('NNP')), ('UMKM', np.str_('NNP')), ('Dapat', np.str_('ADV')), ('Berdayakan', np.str_('NNP')), ('Perempuan', np.str_('NN'))]","[('Penghapusan', 'O'), ('Piutang', 'B-ASSET_CLASS'), ('UMKM', 'I-ASSET_CLASS'), ('Dapat', 'O'), ('Berdayakan', 'O'), ('Perempuan', 'O')]"
